"Service_ID","Community_ID","ServiceName","ServiceType","ProviderName","Address","Contact","OperatingHours","Capacity","Specialties","InsuranceAccepted","QualityRating","Accessibility","EmergencyServices","AverageWaitTime","PatientSatisfactionScore","Accreditation","Website"
"1014","7.0","axligqNrfBACmQlAKpKV","Recreation","oKxWZMeZmkuridC","9858 ychkjVLUpnolrWr St.","+1-262-984-2206","Mon-Fri 6AM - 8PM, Sat 6AM - 8PM, Sun Closed","10","gNKtzfHyaKQqhVQbPYcrhRWqJQVcIC","No","4","Good","No","83 minutes","3","Not Accredited","http://yoayivvqs.com"
"1015","42.0","uqhGcjjCfSeOvMlMWHaq","Education","XQPNdLjveLYlPpp","7981 UUKCIPgFlsoWSVp St.","+1-877-642-2531","Mon-Fri 9AM - 9PM, Sat Closed, Sun 9AM - 9PM","85","OAqamwpAtprgVrIOYFjdFoMFNBqVzn","Yes","4","Good","No","34 minutes","10","Not Accredited","http://qghbffsl.com"
"1016","8.0","IqHSjNYQsJJDkvFwGuMx","Healthcare","cgCsOWiyIFhKhms","3617 GjRtdrlEdDwrwJV St.","+1-382-275-7953","Mon-Fri 9AM - 8PM, Sat 9AM - 8PM, Sun 9AM - 8PM","36","ZaPajvQLxIOoJMiLkkmIDjLPJNNibC","No","5","Average","Yes","27 minutes","5","Accredited","http://vwfvlkhqge.com"
"1017","17.0","WLYYFQqcSXgkOYhHZqiC","Recreation","QCBwbXTceDKZPee","8399 kSLmzgGXUzjntyR St.","+1-647-602-5224","Mon-Fri 7AM - 7PM, Sat 7AM - 7PM, Sun 7AM - 7PM","53","TpuiJWMlEaPGuPUINrwNBIRiGsZmAq","Yes","4","Poor","No","58 minutes","10","Accredited","http://wszfdlq.com"
"1018","22.0","LkTWEQJQSsTmBTGXyraw","Social","csWpRoTlWBWrcQM","8178 HKfvHXgfcnaaNCS St.","+1-410-362-5820","Mon-Fri Closed, Sat 6AM - 9PM, Sun Closed","4","wUvWxZpGbKinGSBmAstQzGIwiiXdXa","No","5","Good","Yes","99 minutes","1","Accredited","http://awmbisdylw.com"
"1019","5.0","jxbOclohTVSaRCDrQPQZ","Education","SchsRzILoUcspfy","6263 oFlHVcSRxpjXZEl St.","+1-593-728-2683","Mon-Fri Closed, Sat 8AM - 8PM, Sun Closed","31","prMHlpGAUOHltCAEHbYsLHYfWDLwLr","No","2","Average","Yes","79 minutes","5","Not Accredited","http://ifkrdw.com"
"1020","28.0","ILgNUMjUlJTEDabeGioS","Social","LXpNRkbDRkBNujy","4303 gwQyroLiJGGFSwY St.","+1-917-952-7051","Mon-Fri 8AM - 10PM, Sat Closed, Sun Closed","72","mfhOBfxVMLijpKMHPkGZIZieOBScPe","Yes","3","Poor","Yes","72 minutes","3","Accredited","http://mhvwje.com"
"1021","22.0","iQDlsMOgLJZbOSQJYtMs","Recreation","dTfToaUvXZZlQMv","9056 gGLChvKlGyXhwNP St.","+1-572-248-7059","Mon-Fri 7AM - 11PM, Sat 7AM - 11PM, Sun Closed","69","SqbBztunoHXYvHPbgxLfTqIOAihnwP","No","2","Good","No","111 minutes","5","Not Accredited","http://upfflr.com"
"1022","42.0","mleVKKisLYXPCxXTJCgZ","Social","TIgxqhhawIiUfeG","7091 lxvqSbBHqNKuiRY St.","+1-853-485-5465","Mon-Fri 8AM - 5PM, Sat Closed, Sun Closed","94","lqCafvzwCJxfihIjrQunToITxwFEFr","Yes","5","Good","No","14 minutes","8","Accredited","http://ovrdjofsb.com"
"1023","48.0","tWCpvTXAxKreAnQbMUJB","Healthcare","zXUzaWPsMfhnNKh","7042 uCoGAoPEMUbvhTQ St.","+1-247-402-8723","Mon-Fri Closed, Sat Closed, Sun 9AM - 7PM","88","lgUWqoEyQEjDRZaJojYsGADvZVhxCl","Yes","5","Good","No","95 minutes","6","Not Accredited","http://zspgrafpio.com"
"1024","32.0","aYarNyEndWVmFHAhtQvU","Recreation","yOgTgCZzplNOGTn","9836 qQEAvUymvMTwynS St.","+1-626-745-6763","Mon-Fri 7AM - 9PM, Sat Closed, Sun 7AM - 9PM","38","mdeZgsZKYKfNdICUGKLPUjwIuElURE","Yes","2","Poor","Yes","72 minutes","9","Not Accredited","http://scclbv.com"
"1025","7.0","XxoJSNLVpthQVbMtMPgZ","Education","FPvVTPriVdjugYy","5564 MrAGFhgYbiEIkPn St.","+1-695-367-2207","Mon-Fri Closed, Sat Closed, Sun 8AM - 7PM","61","gJVuAVMGNuGoEEfnnzbQZWcDgLGfnm","No","3","Average","No","102 minutes","9","Not Accredited","http://dyazzy.com"
"1026","7.0","XqVqsKlWbrYkZcTWdtvb","Recreation","pdoCjPgjiyRzMou","3192 qHsmcmLEZjblAfu St.","+1-557-313-8824","Mon-Fri 8AM - 11PM, Sat Closed, Sun 8AM - 11PM","11","rmWSVoLSCiDVKduCASwUzcwZGpKfAL","Yes","3","Poor","No","16 minutes","9","Accredited","http://ofpphc.com"
"1027","73.0","gmgRuvrfycKMMaFLpICr","Social","VjbQlejdKxPvPwH","2027 nTvTkYPEiCOOMas St.","+1-393-684-7421","Mon-Fri Closed, Sat Closed, Sun Closed","44","kxMLBsNuwrFEFLfTogZYFfAESPpUBL","No","5","Average","Yes","21 minutes","3","Not Accredited","http://gltxyorg.com"
"1028","25.0","zEiAvvnPvgHzlFvOSrLS","Social","xJVXZRcMaRmnowf","1419 lAANuKqPfxKKhqm St.","+1-474-361-2499","Mon-Fri 6AM - 9PM, Sat 6AM - 9PM, Sun 6AM - 9PM","13","gtpIzftqawwWWGBJeqRjrqXGLqUVYL","Yes","1","Average","Yes","34 minutes","9","Not Accredited","http://ebecbxshx.com"
"1029","25.0","kZXUkoJAlhnYjlpktxMl","Social","YzxGMUaQDUFssPt","9031 DaWFeSMFCnhcYZu St.","+1-450-907-3722","Mon-Fri Closed, Sat 6AM - 10PM, Sun 6AM - 10PM","33","zvqVfHkASXyxnVrsSTCUxKpYyqxWDA","No","3","Poor","No","57 minutes","6","Accredited","http://wpwhdbw.com"
"1030","1.0","dGoCYupElirHyoDebXRZ","Healthcare","SAQPFGqeTWqkKko","4639 jcpvzRtBYGZJKQI St.","+1-420-767-2930","Mon-Fri Closed, Sat Closed, Sun Closed","80","AlDhJsutmlxKBvCLMFuiClEgsETMSF","Yes","2","Good","No","53 minutes","3","Accredited","http://bexwc.com"
"1031","28.0","bXCjhAtlOChXKjrObYJD","Social","rqUBuuYxXSRFSpa","5854 glBLzTQDJUqmCpW St.","+1-879-941-5227","Mon-Fri Closed, Sat Closed, Sun 9AM - 6PM","20","VgudldyXgdwUdGWIqXSLOAYWgOrtCC","Yes","3","Average","Yes","100 minutes","2","Not Accredited","http://mltjt.com"
"1032","29.0","GZMjxDueSmegOmbZMItm","Recreation","zJaOiJcCmSxjnbQ","8605 bMUnBZDqrCkbKZO St.","+1-839-766-9888","Mon-Fri 7AM - 10PM, Sat Closed, Sun Closed","57","UqDrCuQRdIByrvwosOJbeQsenzMROK","Yes","3","Average","Yes","79 minutes","5","Accredited","http://exghvq.com"
"1033","1.0","dqZTTZNVihfzxwKQLSvU","Healthcare","incuwIWtAvJQmEX","1360 meyOOtLkOQrZXoX St.","+1-747-930-4940","Mon-Fri Closed, Sat 7AM - 5PM, Sun 7AM - 5PM","23","JPKiqvmDXyXTGOccsQXChzBhxdiAqD","No","5","Poor","No","102 minutes","9","Accredited","http://fsqty.com"
"1034","22.0","KedHNDliMEQZafypizoI","Recreation","PhzpkMgCoNubjkJ","3227 kkSZGQGroDRIavs St.","+1-412-676-7269","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","84","WDmKRkXJmFTbvVeJXmgGDNFKgQZllp","Yes","1","Poor","No","86 minutes","2","Not Accredited","http://lvmfujmp.com"
"1035","33.0","ZUuqtuQmclrARhlQiGmc","Education","VpHuBSNXDFFlIfe","8575 sIOIzhCWxCptuvN St.","+1-215-478-6526","Mon-Fri Closed, Sat 7AM - 10PM, Sun 7AM - 10PM","3","AMuiRUWgmQtJAEZsEqTgLiUYzoXjDR","No","2","Good","No","90 minutes","3","Accredited","http://jzzugv.com"
"1036","7.0","icbAbpoGoxBHMGWLpdMu","Social","dIhWxdbNizXJnaX","3768 eSoIxDakOnIwuXr St.","+1-485-217-3139","Mon-Fri Closed, Sat Closed, Sun Closed","92","nObYmZhXmYvRxZaFcbkicAXAqKVaae","Yes","3","Good","Yes","115 minutes","3","Accredited","http://qketvzbhn.com"
"1037","7.0","dlydARdxjCDkprUSznVQ","Education","YwZdUKNzzLTjKyt","1024 wVELlqonSHnvmfU St.","+1-790-504-3316","Mon-Fri Closed, Sat 7AM - 9PM, Sun 7AM - 9PM","25","kDBhZnamxMSkKrPhDnLhWAlpxDxcck","No","4","Poor","No","75 minutes","10","Not Accredited","http://yadymu.com"
"1038","7.0","UEPKqbelsBftdcLpjHBA","Social","HSuTqdvALTXSGGM","8280 lxBkdorJNbZAjJZ St.","+1-623-999-1019","Mon-Fri 9AM - 9PM, Sat Closed, Sun Closed","37","RtyrOMlBJDNhkwjJxdeOVHUYWdwHVc","No","2","Good","Yes","33 minutes","2","Accredited","http://hskwfc.com"
"1039","6.0","imTzNxYTDXbapdAaoEAK","Healthcare","qwKqHhMPqvTOJXn","4459 asbvvepPSXasTKM St.","+1-595-224-3513","Mon-Fri 8AM - 11PM, Sat Closed, Sun Closed","39","BzSWIvSHOrbOhYKhNmPhPXXeKXGrrp","Yes","1","Average","Yes","113 minutes","9","Accredited","http://fmdbgk.com"
"1040","28.0","xoJDswiLxfJmFpCyvHow","Healthcare","QkKSNoMbQeGDffm","6770 UIMvbGcjCqmmEju St.","+1-487-870-8236","Mon-Fri 6AM - 9PM, Sat Closed, Sun Closed","91","AdkbKGkWmgTdUeybpxgMJCiyelpqUg","No","2","Good","Yes","17 minutes","10","Accredited","http://euiesfbbu.com"
"1041","8.0","gEoNLxYINjUCgPagjzAr","Recreation","QQkgNxPktbdaZot","6390 nCAoGdszYQZtzos St.","+1-864-538-8511","Mon-Fri 9AM - 10PM, Sat Closed, Sun 9AM - 10PM","93","KoqYMxUHPwhBmwBQagFesfhnasCQCe","No","5","Average","Yes","76 minutes","8","Accredited","http://nokmyz.com"
"1042","6.0","VEosTljHBNmrUshaEIgR","Recreation","QPoQWiumyGOnwJg","6893 GoHcmDoKaCmOAZP St.","+1-899-385-4921","Mon-Fri Closed, Sat 9AM - 5PM, Sun Closed","13","JTddlTUjahFxPntDVUWedNFHYhoyfm","No","5","Average","Yes","116 minutes","10","Not Accredited","http://vhpzik.com"
"1043","6.0","tHhzarpKnqtNSEGCRbAm","Education","xHdeisxtuKosmbd","6467 obNmXducAHJawEY St.","+1-952-794-2446","Mon-Fri Closed, Sat Closed, Sun Closed","20","iBQmvCktyZaYhxFWzDMpNpxreGTQdh","Yes","4","Good","Yes","45 minutes","9","Accredited","http://fjdpmnrjbw.com"
"1044","24.0","qTjbzokBQNRjTnFWYzbj","Social","vHSCxMjBBXxJWjO","1978 gLoIRffSGGhqVwJ St.","+1-944-549-8910","Mon-Fri Closed, Sat Closed, Sun Closed","9","uvrFkCNNcaipIPbNTMdrBkkQyyjddv","Yes","5","Average","No","63 minutes","10","Not Accredited","http://xidirourkf.com"
"1045","41.0","vmKciDAwOCzdPruXwJtu","Social","WKATwqWdEEuJoZg","9442 WFbgHrHMTbLsZuc St.","+1-585-485-1904","Mon-Fri Closed, Sat 6AM - 11PM, Sun Closed","17","TBKxoGWIvkMfgkJGUuIrZsciafloBw","Yes","3","Good","Yes","76 minutes","3","Accredited","http://uwiaksmjgn.com"
"1046","28.0","jdSgOzGjwgUrCubRMsnF","Social","DlflRhRFJELoBNk","1048 YlFWjfSBpVuOnpl St.","+1-214-287-8521","Mon-Fri Closed, Sat Closed, Sun Closed","41","PWhMDvKNfCKomPKdQJBfOqRGwxxVAt","No","1","Poor","Yes","57 minutes","6","Not Accredited","http://uhczjzxl.com"
"1047","32.0","WOoCfUomwLtkbwrBCfzj","Social","PqOkKXJsZfEjynz","7120 oKsfQSTeFutUWnj St.","+1-722-685-9519","Mon-Fri 7AM - 8PM, Sat Closed, Sun 7AM - 8PM","67","lvWZbpJDNzKTOUrnmsbtxluVYegcNA","Yes","2","Poor","Yes","98 minutes","6","Not Accredited","http://fhfew.com"
"1048","35.0","ByrCklEGNDCVWecjPnms","Social","WRknIAhjLXvYqJV","9708 rNyPryNZcsvtwYM St.","+1-373-279-4365","Mon-Fri 7AM - 6PM, Sat Closed, Sun 7AM - 6PM","30","ocaByVrtjipxljSpBWkpmRkOSEUvYv","Yes","2","Good","Yes","110 minutes","9","Not Accredited","http://ezvxrgbghk.com"
"1049","35.0","xZfTKvbYQCGhKQXCeSau","Social","MHLIHXreeMVkFXw","3505 igijFQyQdesxMHL St.","+1-456-369-2758","Mon-Fri Closed, Sat Closed, Sun 7AM - 11PM","36","QfWSSdyRCZFSndDNZTvOGZZamOvWxy","No","5","Average","Yes","41 minutes","6","Not Accredited","http://axqslnxohf.com"
"1050","33.0","qtPyzRMdCLuBJUqtleVg","Healthcare","SplnaazBElYScut","899 CJvOuYHUZATBQej St.","+1-520-814-6044","Mon-Fri Closed, Sat Closed, Sun 7AM - 8PM","27","AzWDULjYyOAWslZZvWscoFelovqspR","Yes","1","Poor","Yes","42 minutes","7","Not Accredited","http://kldqz.com"
"1051","35.0","vYwtDDKoUILAqLwfwynz","Recreation","wGCmOGUCJfsoAhw","4850 qSSYJsnztyzppxF St.","+1-723-845-5433","Mon-Fri Closed, Sat Closed, Sun Closed","3","yjfYLsVBnbiKSlVtslrQOoYzsGHeWh","No","3","Good","No","26 minutes","8","Not Accredited","http://tzkbtuzdc.com"
"1052","35.0","niubslgcVbuqoCHbRMsY","Social","xpzxtIwThFZeiCx","5375 TiKEbXrPHeLLgLJ St.","+1-872-916-9421","Mon-Fri Closed, Sat Closed, Sun Closed","47","KzSwZeEmQusSUHicutcEnDGzgJEuwG","Yes","4","Poor","Yes","53 minutes","4","Accredited","http://bvregu.com"
"1053","1.0","ZstcCFJXEbLRaKjbCbUd","Recreation","dhNTTrvcdKQXMnR","3714 QIZklCbJLsgdmxM St.","+1-450-707-3686","Mon-Fri 7AM - 11PM, Sat 7AM - 11PM, Sun Closed","31","lJlyIjnTXnsOIxvQkfFhhRvlhhPEXF","Yes","4","Poor","Yes","78 minutes","6","Not Accredited","http://rbxhiqo.com"
"1054","24.0","pCFCmXWkFJsONfPPRsWL","Recreation","BhsHMkGsPyVCpyj","6835 LoIvNSPSPfggNlO St.","+1-242-691-4537","Mon-Fri 8AM - 10PM, Sat 8AM - 10PM, Sun Closed","39","WsrHBhCZbdMGwzJyNCBagNGfzVzWer","No","1","Poor","Yes","110 minutes","6","Not Accredited","http://rfyqpbqfa.com"
"1055","8.0","SaCgsEKkuHDHcyRSkuOM","Social","ocypzanSlLnkSsM","4815 suEpAvISyipxfDs St.","+1-716-556-2888","Mon-Fri 7AM - 10PM, Sat Closed, Sun 7AM - 10PM","59","bqoMIrJjreahSeNmncrPcBsQnNAIzs","Yes","5","Good","No","84 minutes","2","Not Accredited","http://duqkln.com"
"1056","33.0","WcClaCGTbPrBucstkNyb","Healthcare","kgLxkIkxzKecnYV","5486 hvrpZMmBeYzgDAT St.","+1-853-622-1447","Mon-Fri 9AM - 11PM, Sat 9AM - 11PM, Sun 9AM - 11PM","87","xkWAuFnyqDbhLSiyyPYXjwxzrcoija","No","3","Good","No","28 minutes","6","Not Accredited","http://ptbukrsy.com"
"1057","8.0","mzeofNmAXAUaERPydFVC","Healthcare","iIYzPdlsMnvHGfe","6989 hILYvZdVTWQEPbb St.","+1-907-490-9407","Mon-Fri Closed, Sat Closed, Sun 6AM - 9PM","1","ZpLKFqebaBoFageaUtDfzDPVmOQjjA","Yes","4","Average","Yes","113 minutes","2","Not Accredited","http://zvzkoduwhm.com"
"1058","28.0","yHVTtlpGLFwPpEpogdel","Social","PcsHFnSlQuaAfOC","5642 cMUNkNIOoJYPjij St.","+1-641-315-4123","Mon-Fri Closed, Sat Closed, Sun 8AM - 7PM","81","vgWGUfeAAFVEiXBreSqlNStRkGbzLS","Yes","2","Poor","Yes","77 minutes","10","Not Accredited","http://ajkzlprg.com"
"1059","5.0","KAvPjPKrqmwAOsiJfcgq","Recreation","XSgVmforNUEYZTO","4804 SvccoPZrFMoOYpv St.","+1-587-717-1668","Mon-Fri 7AM - 8PM, Sat 7AM - 8PM, Sun Closed","63","CLIvNSOYhTGxVJRXoFGcArvAnharKx","No","3","Good","No","60 minutes","3","Accredited","http://nwpvsjplq.com"
"1060","23.0","gSUeGjkXWosIVSzjmnkw","Social","MCYaKnCmqBtDoGb","6031 GqoXMMjofiFSbOI St.","+1-400-781-7620","Mon-Fri Closed, Sat 7AM - 6PM, Sun 7AM - 6PM","11","iVNMlNMScvQQCkBHWEhzByAmsKXyYk","Yes","4","Good","Yes","35 minutes","4","Accredited","http://bcgxfdqe.com"
"1061","77.0","xeOzWsZhnEwHryWtkqbr","Education","bcUfmhQcKNZHLzx","8396 QLDHwtnOmXYFvBc St.","+1-472-960-5486","Mon-Fri 7AM - 10PM, Sat 7AM - 10PM, Sun 7AM - 10PM","43","crvqgfwyIbHQMskFXnaksnADhItIEz","No","3","Good","No","82 minutes","4","Accredited","http://lnughy.com"
"1062","8.0","xhaXjRdiHAlufuSVSsRG","Education","DJkKFsuQOqLFWiP","3444 LbiBuXPxwoYzeMZ St.","+1-266-957-6702","Mon-Fri Closed, Sat Closed, Sun 8AM - 9PM","38","AYVwBJErOKBkbHguGnWvTTrKyydZDT","Yes","1","Poor","Yes","119 minutes","1","Accredited","http://qapsndj.com"
"1063","8.0","GnUgJYcKdYmZniEUmeaH","Recreation","GfCVBBFEnbJUOyI","1676 alktNQPFrKlsMAg St.","+1-629-314-4815","Mon-Fri Closed, Sat Closed, Sun 7AM - 10PM","27","IUczTUDHnkpMKiAGhsgNfaQjsfWFMB","No","1","Good","Yes","80 minutes","2","Not Accredited","http://jlfdj.com"
"1064","8.0","FfrwUtiEJKjLGYQHVZcM","Healthcare","KDWONxmyScCGQuf","1748 DlItQmIfUDpKoiL St.","+1-766-826-4636","Mon-Fri Closed, Sat Closed, Sun 9AM - 7PM","16","uegmUlNNFkvuRqYdOHrLhQjRHvArpD","No","5","Average","Yes","110 minutes","3","Not Accredited","http://wattpp.com"
"1065","33.0","mQvHfjctCRoptMCMybEw","Education","NjxXqOGzZBlUXpG","5363 QCcVarvfJAAAcBC St.","+1-238-214-4546","Mon-Fri Closed, Sat 6AM - 9PM, Sun 6AM - 9PM","99","QisrhJKKFQuGKgQdgfuYAbWUKeKdoU","Yes","1","Good","Yes","70 minutes","1","Not Accredited","http://wigxwuuis.com"
"1066","6.0","YeDhIYVUYYDtrHLoScCC","Healthcare","EpruEYvMpzfvePC","5660 wMYhIQEpGVvHsXe St.","+1-392-919-9613","Mon-Fri Closed, Sat Closed, Sun Closed","12","jemERSTWhfNQpxXPTinqxkLGWdKNiU","No","2","Average","Yes","104 minutes","4","Accredited","http://tshedjhh.com"
"1067","24.0","MNjqUlkVRtYsBNFyXPVz","Social","nhdNLnauBJTWfGV","5533 QcWoMlpawfBpLEX St.","+1-239-377-8597","Mon-Fri Closed, Sat Closed, Sun Closed","21","bXhgSzCjCiEwJFMrgTevabQuMxodKp","No","1","Average","Yes","94 minutes","10","Accredited","http://wuabgjdk.com"
"1068","28.0","kYsBKQbIKBYKTHlQrlHQ","Recreation","vsAFwwpfilgQDPh","4770 AeeupduQkUQSkNI St.","+1-735-811-9353","Mon-Fri 9AM - 5PM, Sat 9AM - 5PM, Sun 9AM - 5PM","65","pxJrQSTqmJvRGfEKYqUtBtYuQpFKjH","Yes","5","Average","No","110 minutes","8","Not Accredited","http://oqnveao.com"
"1069","24.0","sthsPNodmEMqFhSZGVYH","Recreation","NNUXHHKQqYhgwPY","7399 iWkbUemnnBmJArT St.","+1-975-296-8155","Mon-Fri Closed, Sat Closed, Sun Closed","13","GxUjTQKMwlCOzylaizmVaJSTRQfeiw","No","5","Average","No","53 minutes","5","Accredited","http://nbmij.com"
"1070","28.0","UWybkZHepFIsYvQNOnQD","Healthcare","vcKiTpPKzyDitvI","7484 GYeUTtiBWIdkmQg St.","+1-612-798-1353","Mon-Fri 8AM - 9PM, Sat Closed, Sun Closed","36","qdSztWpANiNrPUVgKzXUrTNzBgbxyu","Yes","4","Average","Yes","59 minutes","7","Not Accredited","http://mheizf.com"
"1071","24.0","rkvuIakPyydYVNVxNVzi","Social","gmIkOABtiiVtSfY","8050 abOazvhqvMDhPBF St.","+1-877-967-9088","Mon-Fri 9AM - 7PM, Sat 9AM - 7PM, Sun Closed","51","wLXPfqQKcrOhkozgudSYFfSwdbRnTB","No","4","Poor","No","80 minutes","2","Not Accredited","http://oewjwirii.com"
"1072","8.0","BKDULYFzdiNfhANjfsMf","Healthcare","DVArxDxDtOoLGHM","7386 NtoCFHXDwhiXgZl St.","+1-887-458-4693","Mon-Fri Closed, Sat 6AM - 5PM, Sun Closed","96","zbVcJKWpedFCVFhkuYmMmICDYSNziE","Yes","5","Good","Yes","88 minutes","8","Accredited","http://dcmsoaw.com"
"1073","28.0","WJjocFeLPVTAvaMORnGP","Education","nziLEyvZwqPjnqC","2424 DsSljowIkeNRVSV St.","+1-705-969-2666","Mon-Fri Closed, Sat 7AM - 5PM, Sun 7AM - 5PM","23","ouqzzVTHtEvDbjKlRQXVIoLpCGvRup","No","1","Good","Yes","106 minutes","10","Not Accredited","http://ojmjntyh.com"
"1074","28.0","UtVwBgDmDfzNyBogpaWY","Healthcare","IGqbmlsrlyOassi","3291 tthJJxWUROIgEQR St.","+1-787-706-7486","Mon-Fri 9AM - 7PM, Sat 9AM - 7PM, Sun 9AM - 7PM","64","rRrJQUKPSrBuMyCrOSKkmgkyZZfkzk","No","4","Poor","No","29 minutes","6","Not Accredited","http://zthfr.com"
"1075","8.0","SjnQtVwvSTFFapJVyurF","Recreation","PEqFPzrcWhFHCLS","7005 XzUgOIdCTQsQcop St.","+1-444-586-1526","Mon-Fri Closed, Sat Closed, Sun 6AM - 10PM","68","fPbFmCursqOVtytkHqAKaKGVqryrJr","Yes","5","Average","Yes","96 minutes","5","Accredited","http://aeoigribwt.com"
"1076","33.0","TLQOuaDGYgUWfdQqtPDy","Recreation","IjpAJwSFQnIssle","9125 HaLpXhBXcfIKUpH St.","+1-464-303-4049","Mon-Fri Closed, Sat Closed, Sun Closed","1","EveAZcxpdWtEfgxvRNWmulndEdKTox","Yes","2","Average","Yes","93 minutes","5","Accredited","http://uedrkgsyib.com"
"1077","22.0","uafpQhRyxYkKxcXtTLri","Social","xVQaRfKoJszLyaY","3208 zWiKooYjsdlPJuC St.","+1-595-894-1582","Mon-Fri 6AM - 9PM, Sat Closed, Sun Closed","2","lTkPEzXMBvSJjiIeoSPUVEkDjIDEKC","Yes","2","Average","No","13 minutes","6","Not Accredited","http://clftfhteme.com"
"1078","8.0","QqsLNgJgTjKjBoewoRRy","Social","MioZSLGyyYAVjOq","604 ErildFwPlpYwhyB St.","+1-334-348-9768","Mon-Fri Closed, Sat Closed, Sun Closed","90","lZoxdGyrsMYaRMWhsQyUYYaOtgWdaH","Yes","1","Good","Yes","50 minutes","2","Accredited","http://tfvxvlvdu.com"
"1079","39.0","XjzMbqOMDOuBvWNbwJFR","Social","VMVooIBeTzSnTKa","3204 qdMFPcRJqplXcus St.","+1-497-325-9724","Mon-Fri 6AM - 8PM, Sat Closed, Sun Closed","83","emnxNylGshzIyLuDtHLcQYuKXZlQEo","No","4","Poor","Yes","70 minutes","1","Accredited","http://gthwqki.com"
"1080","28.0","jMezBtAjoIpgQjXLxRwH","Social","ZmKHVDYyqYsTQOf","4965 DMxHDtYOppXLGxh St.","+1-720-610-5461","Mon-Fri 8AM - 10PM, Sat Closed, Sun 8AM - 10PM","69","yKrGIquZbrwJJnsZYypzWHqFSDRzaY","No","4","Good","Yes","58 minutes","7","Accredited","http://phiklek.com"
