"Building_ID","Community_ID","Community_Name","Description","Zip","State","Country","Area","Population","EmploymentRate","CrimeRate","Amenities","PublicTransportAccess","QualityOfLifeIndex","HealthCareIndex","CostOfLivingIndex","PollutionIndex","ClimateIndex"
"256545","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","58.5 sq mi","7851","0.66","0.48","NLEFZKxvRLWFLWirJMkO","Average","56","90","51","3","51"
"256544","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","94.8 sq mi","23185","0.71","0.28","pVmxTIsjVkszImmptSLS","Poor","91","57","62","68","4"
"256537","6.0","LAKE VIEW","Description here","60613.0","VA","USA","79.7 sq mi","23336","0.5","0.28","juyywzZUwjVdcmoSdFcP","Poor","67","52","90","29","41"
"256532","6.0","LAKE VIEW","Description here","60613.0","VA","USA","92.3 sq mi","33414","0.86","0.47","XUXnbsuMgzrqhjWFSsUj","Good","87","75","78","2","53"
"256530","24.0","WEST TOWN","Description here","60637.0","IL","USA","69.2 sq mi","29635","0.96","0.08","XUqzUXBoQOVONlbFBlxt","Average","72","69","95","5","37"
"256500","41.0","HYDE PARK","Description here","60637.0","IL","USA","29.4 sq mi","16339","0.65","0.15","YxJErbIpyOiDiNJyujlg","Good","81","99","52","75","59"
"256440","28.0","DOUGLAS","Description here","60616.0","IL","USA","46.8 sq mi","17307","0.61","0.49","NZvNubtThncuiJoeXSDe","Poor","80","80","72","70","52"
"256439","32.0","DOUGLAS","Description here","60616.0","IL","USA","83.9 sq mi","25287","0.97","0.28","xCmGtietRBUiiRVgmNGN","Average","85","53","95","35","55"
"256437","35.0","DOUGLAS","Description here","60616.0","IL","USA","90.0 sq mi","33807","0.51","0.13","AJRVPAFIKGBAMNvoxxei","Average","96","64","55","17","49"
"256436","35.0","DOUGLAS","Description here","60616.0","IL","USA","8.8 sq mi","27045","0.92","0.22","xJwhaMNzXZwDtRPjMRle","Poor","64","99","50","82","83"
"256434","33.0","DOUGLAS","Description here","60616.0","IL","USA","65.9 sq mi","41675","0.86","0.29","GqYFdWbkoZzFzNAqSWiG","Poor","61","82","64","88","89"
"256428","35.0","DOUGLAS","Description here","60616.0","IL","USA","82.0 sq mi","38611","0.5","0.37","grafHAXXQScCeBYUMqNq","Average","82","94","69","90","45"
"256422","35.0","DOUGLAS","Description here","60616.0","IL","USA","91.4 sq mi","46917","0.56","0.41","hByVQhJHgaThGWENciNt","Average","81","87","96","71","94"
"256406","1.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","35.7 sq mi","1483","0.96","0.01","sznguVOviFohwlAJPCpZ","Average","51","65","71","45","66"
"256263","24.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","34.0 sq mi","46941","0.86","0.26","cwveaPazSOFZgsjUOcLv","Good","58","79","99","67","30"
"256248","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","72.7 sq mi","19861","0.68","0.14","RjPgiVLPRQLmKtoRIHDH","Good","95","72","95","80","79"
"256247","33.0","NEAR SOUTH SIDE","Description here","60614.0","VA","USA","61.4 sq mi","29006","0.96","0.22","mWbWmjmwIebCLKccfINn","Poor","51","72","51","65","70"
"256124","8.0","NEAR NORTH SIDE","Description here","60614.0","VA","USA","96.3 sq mi","28299","0.6","0.09","iYGrQWGdHHMLVOaJLKwb","Poor","58","52","56","68","76"
"256076","28.0","NEAR WEST SIDE","Description here","60606.0","IL","USA","58.0 sq mi","35762","0.97","0.31","oOhXsGUSXJRREwdSsqeR","Average","64","68","88","82","21"
"255977","5.0","NORTH CENTER","Description here","60618.0","IL","USA","67.8 sq mi","49066","0.85","0.18","wnQgrywknmcEeSDUspil","Average","67","65","89","21","54"
"255967","23.0","HUMBOLDT PARK","Description here","60651.0","VA","USA","81.8 sq mi","21337","0.53","0.34","hHyYwpPoxrTOsoLqZzZg","Poor","97","90","85","30","6"
"255965","77.0","EDGEWATER","Description here","60640.0","IL","USA","30.4 sq mi","21362","0.6","0.42","kqhrawuiQSAysiLvdCqg","Average","83","89","97","74","55"
"255958","8.0","NEAR WEST SIDE","Description here","60661.0","KY","USA","27.6 sq mi","16878","0.85","0.37","MpllsNXPjHRLngvVymuC","Good","66","54","97","13","100"
"255957","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","58.4 sq mi","8054","0.52","0.38","qjywuNKjziAjFOHDWIug","Poor","60","82","57","6","92"
"255956","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","91.1 sq mi","28175","0.96","0.13","fcKGPzvsroPxPVmkKAEG","Poor","75","53","72","68","63"
"255954","33.0","NEAR SOUTH SIDE","Description here","60614.0","VA","USA","65.8 sq mi","29631","0.81","0.15","gwCopkbtGSuvjgBhqqkL","Good","62","88","58","28","48"
"255949","6.0","LAKE VIEW","Description here","60613.0","VA","USA","70.1 sq mi","23611","0.92","0.17","BJJcvHXNnBtcnoahbeiJ","Good","81","66","85","84","63"
"255948","24.0","WEST TOWN","Description here","60642.0","NC","USA","56.0 sq mi","24605","0.76","0","pcCjFWIWseVvDAetnSHC","Poor","95","87","98","100","98"
"255947","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","84.8 sq mi","41961","0.6","0.22","RvkUyOwKvMQtcdACzeKc","Average","55","59","90","36","16"
"255943","24.0","WEST TOWN","Description here","60622.0","IL","USA","98.8 sq mi","33160","0.78","0.18","lSQAygQZzuQNQvqXTpjh","Average","96","56","63","41","54"
"255941","28.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","11.8 sq mi","12213","0.69","0.29","wNHCIeJdYbUIiIwZkULF","Good","56","63","97","55","43"
"255937","24.0","WEST TOWN","Description here","60654.0","VA","USA","59.9 sq mi","46795","0.8","0.14","HWGbyAbxFPvQVOLrFywj","Good","89","67","60","29","17"
"255936","8.0","NEAR NORTH SIDE","Description here","60654.0","VA","USA","14.2 sq mi","45566","0.98","0.03","pVkQPOOGuemDDFqTCFZx","Average","50","64","54","81","20"
"255924","28.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","6.1 sq mi","48411","0.85","0.17","ctYXpvlHPXcevAxZondZ","Good","87","93","55","76","3"
"255923","28.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","19.5 sq mi","49960","0.62","0.27","TqLZuRZagssosDyBCNdN","Good","67","90","59","2","37"
"255922","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","61.9 sq mi","3533","0.94","0.16","nMVDwNHdjYpWlEJuFzUV","Poor","92","72","69","99","70"
"255921","33.0","NEAR SOUTH SIDE","Description here","60616.0","IL","USA","38.1 sq mi","30879","0.9","0.1","NVmXnqQxLixjQIezDrPM","Poor","90","58","90","89","92"
"255920","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","54.6 sq mi","20636","0.77","0.04","BiumdXXaCGExibRKNiyV","Poor","55","60","82","15","31"
"255791","8.0","NEAR NORTH SIDE","Description here","60649.0","VA","USA","23.1 sq mi","48202","0.61","0.35","hheNDcLiJIYDqgeSvbnq","Poor","56","81","83","35","1"
"255783","39.0","KENWOOD","Description here","60653.0","VA","USA","62.3 sq mi","40347","0.77","0.05","yYplZBzcuFNXluTwRUlj","Average","59","82","64","45","11"
"255757","28.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","53.8 sq mi","47362","0.62","0.01","GrOpSLQaTiXIEBMSHumA","Average","51","84","98","47","20"
"255756","55.0","AVONDALE","Description here","60618.0","IL","USA","89.4 sq mi","25364","0.81","0.25","ilmpXywUJztMeurvdyLs","Average","98","73","62","49","95"
"255743","8.0","LOOP","Description here","60605.0","IL","USA","19.9 sq mi","28152","0.82","0.17","uWBCpmcGkViGCnFniFjL","Poor","80","51","74","61","49"
"255504","6.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","20.3 sq mi","9525","0.81","0.49","QFlzfRevGKZExsZYQotz","Good","68","79","56","29","59"
"255190","24.0","WEST TOWN","Description here","60622.0","IL","USA","16.8 sq mi","16231","0.87","0.27","pIgCkQMRMaUnpbyUxfYW","Average","75","69","90","24","55"
"255148","6.0","LAKE VIEW","Description here","60613.0","VA","USA","42.5 sq mi","33995","0.58","0.2","NhMrclztLVOPYLwywRpu","Average","57","90","50","61","39"
"255147","28.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","71.0 sq mi","32044","0.71","0.17","OnOKaWcTdGEpPUaJPhkX","Good","78","81","71","45","78"
"255083","28.0","NEAR WEST SIDE","Description here","60661.0","KY","USA","72.3 sq mi","38106","0.53","0.03","UnxGAKJwmgzsfoDrYsmR","Good","85","78","92","42","68"
"255028","32.0","LOOP","Description here","60605.0","IL","USA","8.7 sq mi","18040","0.66","0.22","PYznQuRxPzCJXHPuLfPX","Poor","71","67","84","9","61"
"255021","29.0","NORTH LAWNDALE","Description here","60623.0","IL","USA","93.4 sq mi","10516","0.71","0.22","zqtuFpgnWYHsKVJRLvVk","Average","88","90","95","64","14"
"255017","56.0","GARFIELD RIDGE","Description here","60638.0","FL","USA","73.1 sq mi","27559","0.59","0.27","rwaHNgZVEXHDbqIhzMJy","Good","92","95","61","5","73"
"255015","28.0","NEAR WEST SIDE","Description here","60661.0","KY","USA","92.0 sq mi","49804","0.95","0.12","PnIXPzVrXWpSQdrQpZhC","Poor","54","66","90","2","52"
"255013","24.0","WEST TOWN","Description here","60642.0","NC","USA","88.8 sq mi","27243","0.91","0","MkjcapsAsLcpasnQeKMy","Poor","92","72","52","58","10"
"255012","5.0","NORTH CENTER","Description here","60615.0","VA","USA","40.4 sq mi","41813","0.62","0.47","ttVygxCTtzmJkTHDXfje","Poor","83","75","78","21","62"
"255010","24.0","WEST TOWN","Description here","60642.0","NC","USA","77.8 sq mi","37555","0.6","0.23","GkWcRLKWriVRdgeVbCmC","Good","79","93","84","53","59"
"255009","8.0","NEAR NORTH SIDE","Description here","60654.0","VA","USA","12.8 sq mi","36510","0.59","0.3","MkWxYZeZlrBmEWReeKYe","Good","63","71","88","33","97"
"255008","6.0","LAKE VIEW","Description here","60657.0","MN","USA","12.7 sq mi","15765","0.74","0.21","xWTqMrHMIlTquLneIdUa","Good","53","85","84","13","69"
"255006","32.0","LOOP","Description here","60607.0","IL","USA","28.0 sq mi","18021","0.67","0.04","OCOLEHmpfcdcvztSSIfX","Good","52","98","84","80","95"
"255002","23.0","DOUGLAS","Description here","60653.0","VA","USA","40.3 sq mi","40440","0.85","0.3","TCYkfNgICGHalDAppqKC","Good","70","56","99","49","39"
"254997","32.0","LOOP","Description here","60642.0","NC","USA","26.7 sq mi","32448","0.54","0.41","BPzseHwHaQgTNCUNGCJJ","Poor","55","60","94","79","7"
"254989","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","36.5 sq mi","4009","0.57","0.17","JWkVUuwoOUnFFCCZPmRN","Good","52","68","75","26","69"
"254987","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","30.7 sq mi","47238","0.59","0.41","YmTmTuyMmAQkbAgJuXoy","Poor","95","79","69","29","10"
"254984","33.0","NEAR SOUTH SIDE","Description here","60605.0","IL","USA","50.0 sq mi","8153","0.91","0.45","iOIZAwFgVGhXhuLHmQlW","Average","53","81","81","88","63"
"254981","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","38.7 sq mi","29752","0.73","0.44","RALNVTHhsRlNqNjUsQEr","Average","64","94","61","18","37"
"254978","6.0","LAKE VIEW","Description here","60613.0","VA","USA","36.2 sq mi","34429","0.62","0.12","IIMiSLkWDeFbPYpCimKY","Average","64","85","75","33","58"
"254975","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","54.3 sq mi","47005","0.75","0.25","kSmXVOIEtFdJVAMpRzGb","Poor","99","87","78","82","44"
"254573","7.0","OAKLAND","Description here","60653.0","VA","USA","35.1 sq mi","16509","0.93","0.18","UPGVAzpGjOcAAbZXKKuy","Poor","96","85","95","99","57"
"254569","35.0","DOUGLAS","Description here","60610.0","VA","USA","96.5 sq mi","6492","0.51","0.38","gLxVkPDWlNAAFQxnFGHd","Average","96","52","77","12","50"
"254568","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","39.5 sq mi","33547","0.95","0.35","ktaDtharqCgkjyqHtRJs","Average","52","54","59","37","87"
"254567","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","15.8 sq mi","25252","0.65","0.28","bfNUbqnpxOeAzHwBsyGE","Poor","80","79","98","28","69"
"254564","17.0","DUNNING","Description here","60634.0","TN","USA","28.4 sq mi","44525","0.77","0.17","eKdqxzmqOMEtqujINBCt","Poor","91","89","72","22","18"
"254539","17.0","DUNNING","Description here","60634.0","TN","USA","42.2 sq mi","17170","0.76","0.01","PfYcISDZwtSBMgMtbCAH","Poor","99","94","67","12","99"
"254536","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","30.7 sq mi","3484","0.77","0.13","FnRvkYTzXCFexBOtfdtQ","Good","77","57","89","21","19"
"254535","21.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","85.2 sq mi","28224","0.64","0.32","QttpOeJluVpDVHixDDpR","Average","93","84","95","86","72"
"254512","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","59.5 sq mi","27304","0.81","0.27","itbqRTXpUPVdhiuqMLQw","Average","85","53","57","74","18"
"254388","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","18.8 sq mi","38090","0.74","0.37","TvwQdmPGBOXuFVTbRAez","Average","58","68","74","75","25"
"254387","8.0","NEAR NORTH SIDE","Description here","60654.0","VA","USA","9.5 sq mi","29213","0.66","0.25","VWVZOnnPfYtKDQiOcyVK","Average","60","97","88","42","34"
"254385","68.0","ENGLEWOOD","Description here","60621.0","FL","USA","84.7 sq mi","15637","0.92","0.44","pSryiyRQsymEiOhSHgNf","Good","69","55","93","20","57"
"254382","41.0","HYDE PARK","Description here","60637.0","IL","USA","99.5 sq mi","49674","0.86","0.11","VPqZLMGHcarGvquXXtjT","Poor","88","80","70","39","87"
"254379","41.0","HYDE PARK","Description here","60615.0","VA","USA","89.6 sq mi","8294","1","0.26","KwsVNkNiQXCeuQXQKzTx","Good","65","55","77","79","76"
"254373","3.0","UPTOWN","Description here","60647.0","IL","USA","35.0 sq mi","33717","0.62","0.08","iYeGnzcDYjLlnAdhncaT","Good","77","80","76","88","33"
"254372","29.0","NORTH LAWNDALE","Description here","60623.0","IL","USA","5.0 sq mi","27381","0.99","0.2","vCZDVSFdrlWvXTTqvgAk","Good","88","51","86","3","78"
"254371","35.0","DOUGLAS","Description here","60609.0","OK","USA","45.9 sq mi","15457","0.84","0.46","PFXZQGkzTtTAhFWaKStJ","Poor","86","94","83","53","52"
"254368","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","88.4 sq mi","49259","0.74","0.43","SIqJSDScVqSdGhaZrjkr","Good","65","82","57","43","72"
"254362","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","27.9 sq mi","31191","0.93","0.32","CrbBtMGBQnqpmOLrWbdB","Average","63","78","85","62","8"
"254359","22.0","LOGAN SQUARE","Description here","60614.0","VA","USA","76.0 sq mi","45286","0.96","0.49","OxUAXUcyEGmpgOelAQHG","Good","100","71","92","67","52"
"254352","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","81.7 sq mi","31592","0.73","0.1","yYZGsfPUMjxvarexfiYs","Good","62","67","70","78","85"
"254349","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","66.4 sq mi","43931","0.93","0.23","zHoMZHxQNTBuHDqYOWli","Good","86","79","63","3","45"
"254348","41.0","HYDE PARK","Description here","60605.0","IL","USA","65.5 sq mi","49024","0.8","0.28","XkZJvPxfYpkVqoqLwWDg","Good","98","64","62","31","32"
"254347","28.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","60.3 sq mi","4622","0.94","0.3","QgGOSycbozNHjNTMgIru","Average","97","82","68","52","65"
"254345","69.0","GREATER GRAND CROSSING","Description here","60621.0","FL","USA","93.5 sq mi","42146","0.58","0.44","ZCHiOOiytOWvnczqTtfS","Average","95","58","88","3","87"
"254342","6.0","LAKE VIEW","Description here","60657.0","MN","USA","62.8 sq mi","38357","0.72","0.07","nPPtnOIAaKvfuvTZfXLp","Poor","83","74","55","24","97"
"254317","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","32.0 sq mi","42740","0.88","0.01","rLWRedHmtWNaYmSGyitw","Poor","55","90","63","28","64"
"254316","4.0","LINCOLN SQUARE","Description here","60618.0","IL","USA","92.8 sq mi","30503","0.99","0.33","hwQcshGAbolWNowHtAfY","Average","87","87","51","2","26"
"254309","1.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","91.5 sq mi","17894","0.99","0.33","PdgNdmjuIsykuBNjDBla","Average","50","58","52","78","87"
"254246","38.0","GRAND BOULEVARD","Description here","60615.0","VA","USA","24.1 sq mi","5563","0.83","0.05","rKUUfNeuaNdfASKOEWww","Poor","84","56","76","36","45"
"254227","1.0","ROGERS PARK","Description here","60621.0","FL","USA","96.8 sq mi","31469","0.68","0.26","TutJIMUsrmZIBqYBMrYH","Average","86","67","54","26","75"
"254226","6.0","LAKE VIEW","Description here","60657.0","MN","USA","83.4 sq mi","38869","0.84","0.21","qpLkJBzBBGwhVlktNtfL","Poor","58","97","58","14","39"
"254174","33.0","Hermosa","Description here","60639.0","IA","USA","4.8 sq mi","10199","0.89","0.43","KfafZGdRZBwCHqEmkqsp","Good","67","65","79","46","7"
"254173","36.0","OAKLAND","Description here","60609.0","OK","USA","60.7 sq mi","22027","0.59","0.05","YnsBfmbFDVbmgFucMBdU","Poor","90","82","58","84","83"
"254172","77.0","EDGEWATER","Description here","60660.0","IL","USA","8.0 sq mi","22883","0.68","0.09","BVCWSaPsKloBOnIDzevQ","Average","84","99","72","57","83"
"254171","1.0","ROGERS PARK","Description here","60660.0","IL","USA","15.4 sq mi","17545","0.57","0.17","OEcuhxXbhlZzCtWWAxCc","Poor","73","83","86","58","14"
"254167","77.0","EDGEWATER","Description here","60660.0","IL","USA","64.9 sq mi","11324","0.59","0.36","doYvKIlDYFIKQowIPIJX","Poor","76","53","74","30","5"
"254166","1.0","ROGERS PARK","Description here","60626.0","IL","USA","29.6 sq mi","15202","0.83","0.3","DLyBHSghlyMPnxSmauKy","Average","92","76","81","68","15"
"254165","32.0","ROGERS PARK","Description here","60626.0","IL","USA","53.5 sq mi","36515","0.67","0.01","XvsaYJcoTjGEAofeitbI","Average","84","56","95","21","69"
"254164","1.0","ROGERS PARK","Description here","60660.0","IL","USA","34.4 sq mi","21820","0.52","0.27","LYcldrGKxOdiKeGVPMfv","Good","68","78","94","96","79"
"254162","1.0","ROGERS PARK","Description here","60626.0","IL","USA","66.0 sq mi","19225","0.63","0.24","nFmrTyjWdpvGlNaEdOPm","Poor","55","96","70","41","12"
"254161","1.0","ROGERS PARK","Description here","60626.0","IL","USA","96.7 sq mi","39224","0.89","0.1","TrGXBPHVvYZykjoWJMPF","Poor","92","90","88","22","84"
"254159","24.0","WEST TOWN","Description here","60625.0","IL","USA","17.4 sq mi","42033","0.97","0.19","vIkIiXaHAtEeGbhfQyiW","Good","82","86","54","22","61"
"254157","5.0","NORTH CENTER","Description here","60625.0","IL","USA","81.3 sq mi","15950","0.7","0.2","xcDMuvrbQecIBnRBtdYa","Poor","86","92","74","37","97"
"254156","43.0","UPTOWN","Description here","60640.0","IL","USA","45.8 sq mi","32682","0.62","0.17","xIclByZjhVWpxYaTmBxS","Average","60","85","68","95","3"
"254155","10.0","NORWOOD PARK","Description here","60631.0","MN","USA","70.3 sq mi","17379","0.91","0.11","GmpCSaIIGQGjlyMWizoM","Average","82","71","83","9","45"
"254153","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","5.9 sq mi","19852","0.69","0.36","vYQQMUWmJhExnBPzHZfr","Average","51","88","92","14","60"
"254151","8.0","NEAR NORTH SIDE","Description here","60610.0","VA","USA","57.5 sq mi","4860","0.51","0.43","SMRMynDIsrUVtRwcVQHI","Average","93","59","93","11","77"
"254115","34.0","ARMOUR SQUARE","Description here","60616.0","IL","USA","14.4 sq mi","21607","0.7","0.14","WxbDysLOTvfQYvOIjhAY","Good","74","79","58","32","100"
"254114","6.0","LAKE VIEW","Description here","60613.0","VA","USA","73.7 sq mi","37592","0.81","0.07","OpwxAHExnUAnrgZHbHAF","Poor","67","86","71","7","44"
"254113","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","4.8 sq mi","9183","1","0.24","QaNyQasQlZSjYjTOSpbg","Poor","70","83","86","47","57"
"254109","35.0","DOUGLAS","Description here","60616.0","IL","USA","65.6 sq mi","32214","0.98","0.33","SGXZoaZWUxlWpLPWEZHz","Good","89","81","65","67","66"
"254107","6.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","1.0 sq mi","10613","0.88","0.17","IDuYISfFnXqgofmhGSUr","Average","93","93","52","72","5"
"254105","77.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","21.8 sq mi","7101","0.7","0.38","hamCHOPfgCnPfVnivRDt","Average","82","97","62","38","54"
"254101","6.0","LAKE VIEW","Description here","60657.0","MN","USA","99.5 sq mi","35929","0.55","0.43","rVpfrcIWyZQBgCmHEuDT","Average","57","64","63","61","3"
"254099","43.0","SOUTH SHORE","Description here","60649.0","VA","USA","6.3 sq mi","14089","0.69","0.26","WeMPBzqLLXiyjMEIQCNR","Good","96","68","92","67","65"
