"Street_ID","Street_Name","Description","LocationType","Zip","State","Country","Address","Latitude","Longitude","Location","Elevation","GeoPoint","Region","Population","LandUse","Accessibility","Amenities","SafetyIndex","EnvironmentalQuality","DevelopmentIndex","GeospatialData"
"1017","195 N Harbor Dr","Residential area","Residential","Dr","IL","USA","195 N Harbor Dr","41.991196","-87.81565","(41.991196, -87.81565)","180","POINT(-87.81565 41.991196)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.81565 41.991196)"
"1018","1118 N State Street","Commercial district","Commercial","Street","IL","USA","1118 N State Street","41.90563","-87.63225","(41.90563, -87.63225)","180","POINT(-87.63225 41.90563)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.63225 41.90563)"
"1019","820 N LaSalle St","Industrial zone","Industrial","St","IL","USA","820 N LaSalle St","41.897346","-87.63307","(41.897346, -87.63307)","180","POINT(-87.63307 41.897346)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.63307 41.897346)"
"1020","541 N Fairbanks","Mixed-use neighborhood","Mixed","Fairbanks","IL","USA","541 N Fairbanks","41.759693","-87.67628","(41.759693, -87.67628)","180","POINT(-87.67628 41.759693)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.67628 41.759693)"
"1021","199  E LAKE SHORE DR","Residential area","Residential","DR","IL","USA","199  E LAKE SHORE DR","41.895794","-87.62248","(41.895794, -87.62248)","180","POINT(-87.62248 41.895794)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.62248 41.895794)"
"1022","8001 S Western Ave","Commercial district","Commercial","Ave","IL","USA","8001 S Western Ave","41.747852","-87.68245","(41.747852, -87.68245)","180","POINT(-87.68245 41.747852)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.68245 41.747852)"
"1023","4101  S CALUMET AVE","Industrial zone","Industrial","AVE","IL","USA","4101  S CALUMET AVE","41.82021","-87.612465","(41.82021, -87.612465)","180","POINT(-87.612465 41.82021)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.612465 41.82021)"
"1024","2921 S MICHIGAN AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","2921 S MICHIGAN AVE","41.84171","-87.622826","(41.84171, -87.622826)","180","POINT(-87.622826 41.84171)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.622826 41.84171)"
"1025","3330 W 71st St","Residential area","Residential","St","IL","USA","3330 W 71st St","41.886078","-87.63304","(41.886078, -87.63304)","180","POINT(-87.63304 41.886078)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.63304 41.886078)"
"1026","3434 3464 S HALSTED ST","Commercial district","Commercial","ST","IL","USA","3434 3464 S HALSTED ST","41.84915","-87.6709","(41.84915, -87.6709)","180","POINT(-87.6709 41.84915)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.6709 41.84915)"
"1027","3119 N Pulaski Rd","Industrial zone","Industrial","Rd","IL","USA","3119 N Pulaski Rd","41.93801","-87.7271","(41.93801, -87.7271)","180","POINT(-87.7271 41.93801)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.7271 41.93801)"
"1028","735 N State St","Mixed-use neighborhood","Mixed","St","IL","USA","735 N State St","41.89583","-87.62813","(41.89583, -87.62813)","180","POINT(-87.62813 41.89583)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.62813 41.89583)"
"1029","2 10 W ELM ST","Residential area","Residential","ST","IL","USA","2 10 W ELM ST","41.90375","-87.63559","(41.90375, -87.63559)","180","POINT(-87.63559 41.90375)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.63559 41.90375)"
"1030","6530 W Irving Park Rd","Commercial district","Commercial","Rd","IL","USA","6530 W Irving Park Rd","41.938316","-87.78904","(41.938316, -87.78904)","180","POINT(-87.78904 41.938316)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.78904 41.938316)"
"1031","172 W Adams St","Industrial zone","Industrial","St","IL","USA","172 W Adams St","41.879913","-87.633224","(41.879913, -87.633224)","180","POINT(-87.633224 41.879913)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.633224 41.879913)"
"1032","2330 W 110th Pl","Mixed-use neighborhood","Mixed","Pl","IL","USA","2330 W 110th Pl","41.692986","-87.67978","(41.692986, -87.67978)","180","POINT(-87.67978 41.692986)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.67978 41.692986)"
"1033","300 N Canal Street","Residential area","Residential","Street","IL","USA","300 N Canal Street","41.793297","-87.68838","(41.793297, -87.68838)","180","POINT(-87.68838 41.793297)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.68838 41.793297)"
"1034","1241 W 19th St","Commercial district","Commercial","St","IL","USA","1241 W 19th St","41.939693","-87.66901","(41.939693, -87.66901)","180","POINT(-87.66901 41.939693)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.66901 41.939693)"
"1035","1430 1440 S MICHIGAN AVE","Industrial zone","Industrial","AVE","IL","USA","1430 1440 S MICHIGAN AVE","41.759693","-87.67628","(41.759693, -87.67628)","180","POINT(-87.67628 41.759693)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.67628 41.759693)"
"1036","839 S WELLS ST","Mixed-use neighborhood","Mixed","ST","IL","USA","839 S WELLS ST","41.891983","-87.63699","(41.891983, -87.63699)","180","POINT(-87.63699 41.891983)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.63699 41.891983)"
"1037","7430  S ROCKWELL ST","Residential area","Residential","ST","IL","USA","7430  S ROCKWELL ST","41.77517","-87.7139","(41.77517, -87.7139)","180","POINT(-87.7139 41.77517)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.7139 41.77517)"
"1038","4700 S Kedzie Ave","Commercial district","Commercial","Ave","IL","USA","4700 S Kedzie Ave","41.8074","-87.70533","(41.8074, -87.70533)","180","POINT(-87.70533 41.8074)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.70533 41.8074)"
"1039","1200 W Pratt Blvd","Industrial zone","Industrial","Blvd","IL","USA","1200 W Pratt Blvd","42.01036","-87.6683","(42.01036, -87.6683)","180","POINT(-87.6683 42.01036)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.6683 42.01036)"
"1040","4707 S. Marshfield Ave.","Mixed-use neighborhood","Mixed","Ave.","IL","USA","4707 S. Marshfield Ave.","41.808342","-87.665596","(41.808342, -87.665596)","180","POINT(-87.665596 41.808342)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.665596 41.808342)"
"1041","6333 W Bloomingdale Ave","Residential area","Residential","Ave","IL","USA","6333 W Bloomingdale Ave","41.912785","-87.78313","(41.912785, -87.78313)","180","POINT(-87.78313 41.912785)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.78313 41.912785)"
"1042","2501 N ELSTON AVE","Commercial district","Commercial","AVE","IL","USA","2501 N ELSTON AVE","41.91724","-87.6849","(41.91724, -87.6849)","180","POINT(-87.6849 41.91724)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.6849 41.91724)"
"1043","3330 W 71st St","Industrial zone","Industrial","St","IL","USA","3330 W 71st St","41.886078","-87.63304","(41.886078, -87.63304)","180","POINT(-87.63304 41.886078)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.63304 41.886078)"
"1044","899 S Plymouth Ct","Mixed-use neighborhood","Mixed","Ct","IL","USA","899 S Plymouth Ct","41.87086","-87.628555","(41.87086, -87.628555)","180","POINT(-87.628555 41.87086)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.628555 41.87086)"
"1045","111 W WACKER DR","Residential area","Residential","DR","IL","USA","111 W WACKER DR","41.947426","-87.642685","(41.947426, -87.642685)","180","POINT(-87.642685 41.947426)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.642685 41.947426)"
"1046","150 S Campbell Ave","Commercial district","Commercial","Ave","IL","USA","150 S Campbell Ave","41.878876","-87.689545","(41.878876, -87.689545)","180","POINT(-87.689545 41.878876)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.689545 41.878876)"
"1047","4120  S INDIANA AVE","Industrial zone","Industrial","AVE","IL","USA","4120  S INDIANA AVE","41.82021","-87.612465","(41.82021, -87.612465)","180","POINT(-87.612465 41.82021)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.612465 41.82021)"
"1048","500 - 510 N Dearborn St","Mixed-use neighborhood","Mixed","St","IL","USA","500 - 510 N Dearborn St","41.87118","-87.62812","(41.87118, -87.62812)","180","POINT(-87.62812 41.87118)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.62812 41.87118)"
"1049","65  E GOETHE ST","Residential area","Residential","ST","IL","USA","65  E GOETHE ST","41.90375","-87.63559","(41.90375, -87.63559)","180","POINT(-87.63559 41.90375)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.63559 41.90375)"
"1050","860 W Evergreen Ave","Commercial district","Commercial","Ave","IL","USA","860 W Evergreen Ave","41.906113","-87.65013","(41.906113, -87.65013)","180","POINT(-87.65013 41.906113)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.65013 41.906113)"
"1051","111 S PEORIA ST","Industrial zone","Industrial","ST","IL","USA","111 S PEORIA ST","41.82021","-87.612465","(41.82021, -87.612465)","180","POINT(-87.612465 41.82021)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.612465 41.82021)"
"1052","5740 S Michigan Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","5740 S Michigan Ave","41.789722","-87.623276","(41.789722, -87.623276)","180","POINT(-87.623276 41.789722)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.623276 41.789722)"
"1053","115 S LaSalle St","Residential area","Residential","St","IL","USA","115 S LaSalle St","41.970306","-87.65058","(41.970306, -87.65058)","180","POINT(-87.65058 41.970306)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.65058 41.970306)"
"1054","205 E Randolph St","Commercial district","Commercial","St","IL","USA","205 E Randolph St","41.991196","-87.81565","(41.991196, -87.81565)","180","POINT(-87.81565 41.991196)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.81565 41.991196)"
"1055","1201 E 60TH ST","Industrial zone","Industrial","ST","IL","USA","1201 E 60TH ST","41.77693","-87.609505","(41.77693, -87.609505)","180","POINT(-87.609505 41.77693)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.609505 41.77693)"
"1056","21 W Chestnut St","Mixed-use neighborhood","Mixed","St","IL","USA","21 W Chestnut St","41.972084","-87.70235","(41.972084, -87.70235)","180","POINT(-87.70235 41.972084)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.70235 41.972084)"
"1057","1333 N Laramie Ave","Residential area","Residential","Ave","IL","USA","1333 N Laramie Ave","41.904987","-87.75511","(41.904987, -87.75511)","180","POINT(-87.75511 41.904987)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.75511 41.904987)"
"1058","175 N Harbor Dr","Commercial district","Commercial","Dr","IL","USA","175 N Harbor Dr","41.885445","-87.61546","(41.885445, -87.61546)","180","POINT(-87.61546 41.885445)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.61546 41.885445)"
"1059","3537 S Paulina St","Industrial zone","Industrial","St","IL","USA","3537 S Paulina St","41.901516","-87.70676","(41.901516, -87.70676)","180","POINT(-87.70676 41.901516)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.70676 41.901516)"
"1060","200 N Green St","Mixed-use neighborhood","Mixed","St","IL","USA","200 N Green St","41.89029","-87.61816","(41.89029, -87.61816)","180","POINT(-87.61816 41.89029)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.61816 41.89029)"
"1061","2738  N PINE GROVE AVE","Residential area","Residential","AVE","IL","USA","2738  N PINE GROVE AVE","41.975525","-87.69722","(41.975525, -87.69722)","180","POINT(-87.69722 41.975525)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.69722 41.975525)"
"1062","421  W BARRY AVE","Commercial district","Commercial","AVE","IL","USA","421  W BARRY AVE","41.93985","-87.65845","(41.93985, -87.65845)","180","POINT(-87.65845 41.93985)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.65845 41.93985)"
"1063","333 N Jefferson St","Industrial zone","Industrial","St","IL","USA","333 N Jefferson St","41.887856","-87.642395","(41.887856, -87.642395)","180","POINT(-87.642395 41.887856)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.642395 41.887856)"
"1064","3333  W MAYPOLE AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3333  W MAYPOLE AVE","41.880825","-87.72328","(41.880825, -87.72328)","180","POINT(-87.72328 41.880825)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.72328 41.880825)"
"1065","8439-8503 W Catherine Ave","Residential area","Residential","Ave","IL","USA","8439-8503 W Catherine Ave","41.947426","-87.642685","(41.947426, -87.642685)","180","POINT(-87.642685 41.947426)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.642685 41.947426)"
"1066","5631 S Kimbark Ave","Commercial district","Commercial","Ave","IL","USA","5631 S Kimbark Ave","41.792316","-87.594406","(41.792316, -87.594406)","180","POINT(-87.594406 41.792316)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.594406 41.792316)"
"1067","2140 N Elston Ave","Industrial zone","Industrial","Ave","IL","USA","2140 N Elston Ave","41.879112","-87.646515","(41.879112, -87.646515)","180","POINT(-87.646515 41.879112)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.646515 41.879112)"
"1068","111 N Wabash Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","111 N Wabash Ave","41.88357","-87.62621","(41.88357, -87.62621)","180","POINT(-87.62621 41.88357)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.62621 41.88357)"
"1069","4700 N MARINE DR","Residential area","Residential","DR","IL","USA","4700 N MARINE DR","41.96763","-87.64973","(41.96763, -87.64973)","180","POINT(-87.64973 41.96763)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.64973 41.96763)"
"1070","5740 S Michigan Ave","Commercial district","Commercial","Ave","IL","USA","5740 S Michigan Ave","41.789722","-87.623276","(41.789722, -87.623276)","180","POINT(-87.623276 41.789722)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.623276 41.789722)"
"1071","1353 & 1357 S Blue Island Ave","Industrial zone","Industrial","Ave","IL","USA","1353 & 1357 S Blue Island Ave","41.864185","-87.65573","(41.864185, -87.65573)","180","POINT(-87.65573 41.864185)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.65573 41.864185)"
"1072","5025 N Laramie Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","5025 N Laramie Ave","41.972095","-87.75692","(41.972095, -87.75692)","180","POINT(-87.75692 41.972095)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.75692 41.972095)"
"1073","610 S Michigan Ave","Residential area","Residential","Ave","IL","USA","610 S Michigan Ave","41.87373","-87.62548","(41.87373, -87.62548)","180","POINT(-87.62548 41.87373)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.62548 41.87373)"
"1074","105 W MADISON ST","Commercial district","Commercial","ST","IL","USA","105 W MADISON ST","41.881954","-87.63114","(41.881954, -87.63114)","180","POINT(-87.63114 41.881954)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.63114 41.881954)"
"1075","77 W Jackson","Industrial zone","Industrial","Jackson","IL","USA","77 W Jackson","41.877556","-87.63042","(41.877556, -87.63042)","180","POINT(-87.63042 41.877556)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.63042 41.877556)"
"1076","1244 N Dearborn St","Mixed-use neighborhood","Mixed","St","IL","USA","1244 N Dearborn St","41.905235","-87.63045","(41.905235, -87.63045)","180","POINT(-87.63045 41.905235)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.63045 41.905235)"
"1077","730 N Franklin St","Residential area","Residential","St","IL","USA","730 N Franklin St","41.7398","-87.653496","(41.7398, -87.653496)","180","POINT(-87.653496 41.7398)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.653496 41.7398)"
"1078","1540 N LaSalle St","Commercial district","Commercial","St","IL","USA","1540 N LaSalle St","41.90375","-87.63559","(41.90375, -87.63559)","180","POINT(-87.63559 41.90375)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.63559 41.90375)"
"1079","8101 8141 S CICERO AVE","Industrial zone","Industrial","AVE","IL","USA","8101 8141 S CICERO AVE","41.74476","-87.74026","(41.74476, -87.74026)","180","POINT(-87.74026 41.74476)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.74026 41.74476)"
"1080","1400 W FULTON ST","Mixed-use neighborhood","Mixed","ST","IL","USA","1400 W FULTON ST","41.876854","-87.64988","(41.876854, -87.64988)","180","POINT(-87.64988 41.876854)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.64988 41.876854)"
"1081","2900 N Lake Shore Dr","Residential area","Residential","Dr","IL","USA","2900 N Lake Shore Dr","41.773224","-87.63687","(41.773224, -87.63687)","180","POINT(-87.63687 41.773224)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.63687 41.773224)"
"1082","740 E 43rd St","Commercial district","Commercial","St","IL","USA","740 E 43rd St","41.81743","-87.60783","(41.81743, -87.60783)","180","POINT(-87.60783 41.81743)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.60783 41.81743)"
"1083","57 - 63 W Grand Ave","Industrial zone","Industrial","Ave","IL","USA","57 - 63 W Grand Ave","41.891594","-87.6304","(41.891594, -87.6304)","180","POINT(-87.6304 41.891594)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.6304 41.891594)"
"1084","4310 N Melvina Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","4310 N Melvina Ave","41.95925","-87.78262","(41.95925, -87.78262)","180","POINT(-87.78262 41.95925)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.78262 41.95925)"
"1085","3149 N Wolcott Ave","Residential area","Residential","Ave","IL","USA","3149 N Wolcott Ave","41.868633","-87.627304","(41.868633, -87.627304)","180","POINT(-87.627304 41.868633)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.627304 41.868633)"
"1086","6401 S Yale Ave","Commercial district","Commercial","Ave","IL","USA","6401 S Yale Ave","41.777767","-87.631355","(41.777767, -87.631355)","180","POINT(-87.631355 41.777767)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.631355 41.777767)"
"1087","501 W 24th Pl","Industrial zone","Industrial","Pl","IL","USA","501 W 24th Pl","41.847878","-87.63925","(41.847878, -87.63925)","180","POINT(-87.63925 41.847878)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.63925 41.847878)"
"1088","4420 N Beacon St","Mixed-use neighborhood","Mixed","St","IL","USA","4420 N Beacon St","41.7398","-87.653496","(41.7398, -87.653496)","180","POINT(-87.653496 41.7398)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.653496 41.7398)"
"1089","600 S Michigan Ave","Residential area","Residential","Ave","IL","USA","600 S Michigan Ave","41.874054","-87.624825","(41.874054, -87.624825)","180","POINT(-87.624825 41.874054)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.624825 41.874054)"
"1090","5550 N Kenmore Ave","Commercial district","Commercial","Ave","IL","USA","5550 N Kenmore Ave","41.98352","-87.657005","(41.98352, -87.657005)","180","POINT(-87.657005 41.98352)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.657005 41.98352)"
"1091","6059 S Wabash Ave","Industrial zone","Industrial","Ave","IL","USA","6059 S Wabash Ave","41.784393","-87.62378","(41.784393, -87.62378)","180","POINT(-87.62378 41.784393)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.62378 41.784393)"
"1092","2438 2484 W ESTES AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","2438 2484 W ESTES AVE","42.0088","-87.69503","(42.0088, -87.69503)","180","POINT(-87.69503 42.0088)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.69503 42.0088)"
"1093","3244  W 59TH ST","Residential area","Residential","ST","IL","USA","3244  W 59TH ST","41.77517","-87.7139","(41.77517, -87.7139)","180","POINT(-87.7139 41.77517)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.7139 41.77517)"
"1094","850 858 N LAKESHORE DR","Commercial district","Commercial","DR","IL","USA","850 858 N LAKESHORE DR","41.89818","-87.61803","(41.89818, -87.61803)","180","POINT(-87.61803 41.89818)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.61803 41.89818)"
"1095","1326 S Michigan Avenue","Industrial zone","Industrial","Avenue","IL","USA","1326 S Michigan Avenue","41.865856","-87.61953","(41.865856, -87.61953)","180","POINT(-87.61953 41.865856)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.61953 41.865856)"
