Data_Year,ID,Property_Name,Address,Energy_Rating,Property_Type,Floor_Area,Water_Use (kGal),Electricity_Use(kBtu),Natural_Gas_Use(kBtu),Total_GHG_Emissions(Metric Tons CO2e),GHG_Intensity(kg CO2e/sq ft),Latitude,Longitude,Location,Wards,Community_Area
2017,100346,2609 W. Belmont Apartments,2609 W BELMONT AVE,68,Multifamily Housing,87196,6638.5,1533291,3889053,490.1,5.6,41.94672,-87.70319,"(41.94672, -87.70319)",20,16
2020,159411,1130 S Michigan Ave,1130 S Michigan Ave,2.5,Multifamily Housing,810159,7719.5,15394169.5,40738355.7,4566.4,6.4,41.889732,-87.63612,"(41.889732, -87.63612)",10,38
2020,253966,Greenview Place,1501 W Melrose St,4.0,Senior Living Community,130428,82.4,2942923.8,3698282.7,655.7,7.9,41.939857,-87.65846,"(41.939857, -87.65846)",25,57
2020,159894,Oglesby Towers,6700 S OGLESBY AVE,2.0,Multifamily Housing,245000,9762.4,3308104.5,18140296.6,1479.8,6.9,41.868633,-87.627304,"(41.868633, -87.627304)",33,39
2020,101679,Presidents Plaza 1,8600 W Bryn Mawr Ave,4.0,Office,729676,6283.7,23423209,224953.4,3667.6,8.8,41.982925,-87.84222,"(41.982925, -87.84222)",29,75
2020,251789,Saint Hedwig Parish,2226 N Hoyne Ave,3.0,Other,100888,2343.0,938204,8867909.7,617.4,6.1,41.922253,-87.68068,"(41.922253, -87.68068)",40,23
2016,253968,Kilpatrick Renaissance,4655 W Berteau Ave,96,Multifamily Housing,79246,1022.8,3044880.7,2310821.1,684,8.6,41.94617,-87.746544,"(41.94617, -87.746544)",21,15
2020,159892,Promontory Apartments,5530 S SHORE DR,3.5,Multifamily Housing,180351,9896.7,3265741.3,13586599.8,1231.3,6.8,41.871033,-87.73349,"(41.871033, -87.73349)",33,8
2020,253967,Twenty N. State Condominium Association,20 N State St,4.0,Multifamily Housing,211608,3617.5,6793967.6,7219756.7,1443.8,6.8,41.8833,-87.62933,"(41.8833, -87.62933)",36,38
2020,160425,Chestnut Place Apartments,850 N State St,9,Multifamily Housing,337712,9009.0,9622556.9,2809700,1651,6.4,41.89836,-87.628624,"(41.89836, -87.628624)",11,37
2020,160422,Hotel Palomar Chicago,505 N State St,1.0,Hotel,108228,477.2,13286383.3,5032219.5,2340.9,21.6,41.89109,-87.627525,"(41.89109, -87.627525)",36,37
2018,113632,Lake Shore Land Association,1130 N LAKE SHORE DR,4.0,Multifamily Housing,58560,704,703121.8,3980161.7,328.4,5.6,41.895786,-87.62247,"(41.895786, -87.62247)",11,37
2018,134136,Jenkins Hall 171 W. Oak,141 173 W OAK ST,4.0,College/University,164122,6403,2146615.4,9481299.6,860.7,5.2,41.90375,-87.63559,"(41.90375, -87.63559)",46,37
2020,111452,Washington Square,1301 1309 W WASHINGTON BLVD,4.0,Multifamily Housing,90724,9322.9,1248590.7,3186550.9,364.1,4.4,41.92075,-87.70153,"(41.92075, -87.70153)",48,29
2020,251750,Sandoval Elementary -CPS,5534 S St Louis Ave,3.0,K-12 School,108534,2914.1,3013643.6,3897650.1,677.4,6.2,41.79248,-87.712326,"(41.79248, -87.712326)",8,61
2020,251751,Juarez Com Academy HS -CPS,2150 S Laflin St,2.5,K-12 School,256400,542.9,9832982.9,9129859.6,2019.6,7.9,41.780464,-87.60531,"(41.780464, -87.60531)",26,33
2020,175915,STEEPLE CENTER,4916 4938 S KEDZIE AVE,4.0,Strip Mall,213000,9588.5,4595476.6,3572073,906.9,10.5,41.80322,-87.70569,"(41.80322, -87.70569)",8,61
2016,173733,(IL600) - 2336 N. Commonwealth,2336  N COMMONWEALTH AVE,93,Multifamily Housing,55338,3725.9,1222424.1,2726902.9,370.2,6.7,41.922012,-87.65462,"(41.922012, -87.65462)",34,68
2020,251759,Swift Specialty -CPS,5900 N Winthrop Ave,2.5,K-12 School,109399,9877.5,3096169.7,5785780.1,790.5,7.2,41.769413,-87.609,"(41.769413, -87.609)",16,76
2018,173730,Beachwalk Apartments,420  W FULLERTON AVE,4.0,Multifamily Housing,60000,2498,1085841.7,4513066.1,420.4,7,41.92075,-87.70153,"(41.92075, -87.70153)",34,68
2020,251754,Phillip Murray Elementary Academy -CPS,5335 S Kenwood Ave,2.5,K-12 School,73984,8463.2,2151734.8,3291930.2,510.7,6.9,41.79868,-87.592804,"(41.79868, -87.592804)",10,8
2020,160429,Academy Square Apartments,318 S THROOP ST,1.0,Multifamily Housing,87388,2738.4,4562824.7,3149687.1,879.4,10.1,41.87711,-87.659836,"(41.87711, -87.659836)",46,29
2020,160414,Cambria Hotel,32 W RANDOLPH ST,0.0,Hotel,250000,3576.6,1678474.5,9604530.5,23993.5,20.8,41.88504,-87.629,"(41.88504, -87.629)",36,38
2017,113621,1414 North Wells Condominium Association,1414  N WELLS ST,97,Multifamily Housing,80000,5027.6,1691810,2804161,461.7,5.8,41.90375,-87.63559,"(41.90375, -87.63559)",46,37
2020,160412,Baumhart Student Residence Hall,26 E Pearson St,4.0,Residence Hall/Dormitory,246327,6025.8,5814939.8,8500000.2,1359,5.5,41.897568,-87.62726,"(41.897568, -87.62726)",11,37
2020,175907,Washington Courts,5424  W WASHINGTON BLVD,1.0,Multifamily Housing,109084,7730.3,1287025.2,12153921.3,846.4,7.8,41.880394,-87.75827,"(41.880394, -87.75827)",23,26
2020,173724,Arthur J. Schmitt Academic Center,2320 N Kenmore Ave,4.0,College/University,164408,4389.7,2736847.9,9923134.1,954.2,5.8,41.924084,-87.65537,"(41.924084, -87.65537)",34,68
2020,251761,Whitney -CPS,2815 S Komensky Ave,2.0,K-12 School,108653,489.1,2113715.6,11923470.7,963.2,8.9,41.94929,-87.64692,"(41.94929, -87.64692)",28,32
2018,173725,2140 N Lincoln Park West,2140  N LINCOLN PARK West,2.0,Multifamily Housing,51750,3887,1509117.4,5769999.9,557.5,10.8,41.922012,-87.65462,"(41.922012, -87.65462)",34,68
2020,251762,Schubert -CPS,2727 N Long Ave,4.0,K-12 School,101364,9491.8,1313378.2,5845590.2,515.5,5.1,41.930004,-87.76055,"(41.930004, -87.76055)",17,19
2020,251764,Parkside - 544,544 W Oak St,3.5,Multifamily Housing,166322,4859.7,3021595.4,6479046.3,815.7,5.8,41.90046,-87.64173,"(41.90046, -87.64173)",46,37
2020,251760,"Walsh, John A -CPS",2031 S Peoria St,2.5,K-12 School,73288,1645.4,2087219.7,3744980.1,524.7,7.2,41.854378,-87.64784,"(41.854378, -87.64784)",48,33
2018,100320,"IMDC LAPORTE, LLC",4039 4051 N LAPORTE AVE,4.0,Multifamily Housing,96000,2949,323935.3,6388787,393.2,4.1,41.94615,-87.74708,"(41.94615, -87.74708)",21,15
2020,251765,Bryn Mawr,5550 N Kenmore Ave,1.0,Multifamily Housing,156035,493.6,3373298,23498989.9,1774.6,11.4,41.98352,-87.657005,"(41.98352, -87.657005)",16,76
2017,101657,TLC Touhy LLC,1329 1337 W TOUHY AVE,18,Multifamily Housing,56894,5119.0,276229,3588743,241.7,4.2,41.92385,-87.63654,"(41.92385, -87.63654)",5,10
2020,251767,North Town Village,1311 N Halsted,4.0,Multifamily Housing,124125,5222.3,2065205.1,3434329.6,504.7,5,41.86555,-87.62305,"(41.86555, -87.62305)",46,37
2020,238365,Vision On State Condominium Association,1255 S State St,1.0,Multifamily Housing,373801,4220.7,10299005.9,13369700.2,2317.5,8.4,41.86615,-87.62696,"(41.86615, -87.62696)",9,34
2020,241533,565 W Quincy,565 W Quincy St,3.0,Multifamily Housing,468962,8931.4,13202519,4146579.2,2280.8,6,41.87862,-87.64199,"(41.87862, -87.64199)",36,29
2020,111038,600 N Lake Shore Dr,600 N Lake Shore Dr,3.5,Multifamily Housing,1050816,1175.9,17656721.6,44408768.9,5114.4,6.3,41.89281,-87.61458,"(41.89281, -87.61458)",36,37
2020,238367,1300 Lake Shore Drive Condominium Association,1300 N Lake Shore Dr,2.5,Multifamily Housing,403799,5320.4,9527508.8,20700022.2,2586.4,7.1,41.87781,-87.65493,"(41.87781, -87.65493)",34,37
2016,114543,(IL509) - Parkshore Cooperative,1755  E 55TH ST,57,Multifamily Housing,186905,7074.0,2092047.3,13885200.2,1123.1,6,41.802242,-87.603325,"(41.802242, -87.603325)",33,8
2017,147871,4420 N Clark Condominium Association,4418 4424 N CLARK ST,75,Multifamily Housing,58567,3510.5,629719,5898100,418,7.1,41.97223,-87.6646,"(41.97223, -87.6646)",18,31
2020,243714,Grandville Tower Condominiums,6166 N SHERIDAN RD,2.0,Multifamily Housing,194910,6000.8,3446461.5,14505485.6,1308.3,6.7,41.994316,-87.656,"(41.994316, -87.656)",16,76
2020,253994,Map Factory Lofts,5235 N Ravenswood Ave,4.0,Multifamily Housing,53903,7921.7,687156.3,1184311.8,170.1,3.2,41.972645,-87.66491,"(41.972645, -87.66491)",18,31
2020,251334,Seton Hall,2325 N Sheffield Ave,4.0,College/University,50174,7739.7,1660511.2,2640271,399.4,8,41.924816,-87.653244,"(41.924816, -87.653244)",34,68
2020,253996,The Pierre Condominium,2100 N Lincoln Park West,3.5,Multifamily Housing,230594,1151.2,3586506.2,10925669.1,1140.1,6,41.780464,-87.60531,"(41.780464, -87.60531)",34,68
2016,167479,Lincoln Park Commons Condominium Association,2650 2700 N CLARK ST,10,Mixed Use Property,103000,8136.3,6089812.7,4563119.9,1364.9,13.3,41.931847,-87.64461,"(41.931847, -87.64461)",34,68
2020,250004,Kennedy-King College,6301 S Halsted Ave,1.0,College/University,741244,6995.7,30403813,51194702,7464.3,15,41.7797,-87.64475,"(41.7797, -87.64475)",4,66
2020,250002,Arturo Velasquez Institute,2800 S Western Ave,3.0,College/University,349767,7386.8,5953791.6,6971400,1299.5,7.4,41.840996,-87.68628,"(41.840996, -87.68628)",26,33
2016,253993,(IL192) -2500 Lakeview Association,2500 N Lakeview Ave,71,Multifamily Housing,208975,6923.7,13093993.6,2688325.2,2556.3,12.2,41.921738,-87.65392,"(41.921738, -87.65392)",34,68
2020,251331,Munroe Hall,2312 N Clifton Ave,4.0,College/University,81951,46.3,2719530.6,5035292.2,691.9,8.4,41.923946,-87.65759,"(41.923946, -87.65759)",34,68
2020,251337,The Theatre School,2350 N Racine Ave,4.0,College/University,163000,6313.4,2842561,6976008.3,814.2,5,41.87781,-87.65493,"(41.87781, -87.65493)",34,68
2020,251338,Thomas P. Levan Center,2322 N Kenmore Ave,4.0,College/University,52477,9434.0,2181357.1,3168075.1,508.7,9.7,41.94929,-87.64692,"(41.94929, -87.64692)",34,68
2020,100393,Ford City Mall,7601 S Cicero Ave,2.0,Enclosed Mall,1939923,2393.9,118556416.8,12388849.6,19161.1,22.2,41.920395,-87.756165,"(41.920395, -87.756165)",30,63
2020,100396,St. Rita of Cascia HS,7740 S Western Ave,4.0,K-12 School,435118,6753.1,4445020.1,13678699.9,1420.3,5.2,41.75293,-87.68297,"(41.75293, -87.68297)",30,69
2016,116715,The Studios,1801  S WABASH AVE,81,Multifamily Housing,59094,4243.9,2956850.1,4346700,775.9,13.1,41.845505,-87.630554,"(41.845505, -87.630554)",48,35
2016,172812,4336-44 S Drexel Blvd,4336 4344 S DREXEL BLVD,41,Multifamily Housing,82960,5475.4,845978.1,4551233.5,397.7,4.8,41.87781,-87.65493,"(41.87781, -87.65493)",10,4
2020,251344,"Jewel Osco, 03470-Elston & Addison",3570 N Elston Ave,2.0,Supermarket/Grocery Store,55024,9933.5,9746473.3,4710000.1,1771.3,32.2,41.945118,-87.70845,"(41.945118, -87.70845)",12,22
2020,251346,650 W Lake Street,650 W Lake Street,4.0,Office,64709,5763.7,1142941.3,1931806,281,4.3,41.800785,-87.590485,"(41.800785, -87.590485)",36,29
2020,250014,Mann Park,2949 E 131st St,2.0,Other - Recreation,51273,2816.5,1186154.5,2994167,344.2,6.7,41.657314,-87.55272,"(41.657314, -87.55272)",47,52
2020,251340,Marriott Chicago at Medical District/UIC,625 S Ashland Ave,2.5,Hotel,72000,1656.3,5221196,2581010,952,13.2,41.893078,-87.66679,"(41.893078, -87.66679)",41,25
2016,116720,230-Senior Suites-Central Station,1400  S INDIANA AVE,41,Senior Care Community,71586,5642.6,2180882.2,4305700,630.7,8.8,41.938915,-87.76808,"(41.938915, -87.76808)",10,38
2020,251341,The Legacy at Millennium Park,60 E Monroe St,3.0,Multifamily Housing,1014137,8887.7,25785443.9,19950467.9,33572.5,77.4,41.88082,-87.62572,"(41.88082, -87.62572)",36,38
2020,250018,Douglas Park,1401 S Sacramento Dr,3.0,Other - Recreation,69619,9851.9,1549213.9,1163845.3,303.6,5.3,41.862392,-87.699745,"(41.862392, -87.699745)",14,30
2017,133242,1444 N Orleans,1444  N ORLEANS ST,6,Multifamily Housing,90000,756.6,1108815,3862479,410.2,4.6,41.90375,-87.63559,"(41.90375, -87.63559)",46,37
2020,250016,Loyola Park,1230 W Greenleaf Ave,1.0,Other - Recreation,75220,4899.5,510573.4,20902045.1,1189.9,21.2,41.87827,-87.64809,"(41.87827, -87.64809)",5,10
2020,251347,Evergreen Academy Middle -CPS,3537 S Paulina St,2.0,K-12 School,50060,8243.3,1496243.3,3326650.2,410.2,8.2,41.901516,-87.70676,"(41.901516, -87.70676)",1,56
2018,102568,Grace Shores,639  W GRACE ST,2.0,Multifamily Housing,52953,3170,2008344.1,7796899.7,748.2,14.1,41.95402,-87.662025,"(41.95402, -87.662025)",18,57
2017,113690,20 E Cedar Condominium,20  E CEDAR ST,60,Multifamily Housing,169733,4662.8,2938336,11930841,1177,6.9,41.88696,-87.623055,"(41.88696, -87.623055)",11,37
2016,113677,221 E Walton Condominium Association,221  E WALTON PL,5,Multifamily Housing,51812,2685.4,3205148.9,676332.8,626.7,12.1,41.895794,-87.62248,"(41.895794, -87.62248)",11,37
2016,103871,841-849 W Monroe Street,111 S PEORIA ST,1,Multifamily Housing,76000,1355.3,1375999.5,1552937.1,336.1,4.4,41.82021,-87.612465,"(41.82021, -87.612465)",48,29
2020,251794,Saint Francis of Assisi/OLA School-Galapagos Chart,3814 W Iowa St,4.0,Other,110959,3973.8,618972.8,4308911.1,325.5,2.9,41.938915,-87.76808,"(41.938915, -87.76808)",46,24
2020,253972,Conservancy at North Park Condo I,3900  W BRYN MAWR AVE,4.0,Multifamily Housing,72096,9030.1,721102.4,2570745.4,249.1,4.6,41.780464,-87.60531,"(41.780464, -87.60531)",27,20
2020,251312,"Home Depot, #1961 Elston/Leavitt",2542 Elston Ave,3.5,Retail Store,119178,3128.0,5901577.7,4940188.2,1183.5,9.9,41.927704,-87.68133,"(41.927704, -87.68133)",41,23
2020,251796,Chippewa Apartments,5050 S East End Ave,2.5,Multifamily Housing,74550,8878.9,1189825.9,6031792.5,506.1,6.8,41.803226,-87.58573,"(41.803226, -87.58573)",33,5
2020,251797,RML Specialty Hospital,3534 W Van Buren,3.0,Other - Specialty Hospital,190000,7081.3,17410765.4,28616514.1,4237.2,22.3,41.875443,-87.714195,"(41.875443, -87.714195)",23,28
2020,251790,Saint Monica School,5115 N Mont Clare Ave,2.0,Other,86262,4150.8,1478871.5,4814185,486.5,5.6,41.97393,-87.804306,"(41.97393, -87.804306)",29,36
2020,102532,Advocate Trinity Hospital,2320 E 93rd St,3.0,Hospital (General Medical & Surgical),637903,3040.1,27771847.3,55061201.4,7258.9,19.8,41.726734,-87.566956,"(41.726734, -87.566956)",37,44
2020,251319,03262-Irving Park & Cicero,4660 W Irving Park Rd,2.5,Supermarket/Grocery Store,70790,599.7,11518905.8,5207999.8,2074.4,29.3,41.955505,-87.74485,"(41.955505, -87.74485)",50,15
2020,101686,Harlem-Foster Shopping Center,7240 W Foster Ave,2.0,Strip Mall,760652,8226.1,15064028.2,20220946.8,3425.1,12.5,41.97458,-87.80809,"(41.97458, -87.80809)",29,36
2020,233920,SoNo Condominium Association,860 W Blackhawk St,1.0,Multifamily Housing,399124,3485.0,7496955.6,20908278.6,2280.6,7.6,41.908768,-87.65063,"(41.908768, -87.65063)",11,37
2020,251315,"Jewel Osco, 02502-Clybourn & Wrightwood",2550 N Clybourn St,2.0,Supermarket/Grocery Store,85209,1907.9,12439718.9,6609999.9,2292.5,26.9,41.927776,-87.67299,"(41.927776, -87.67299)",40,68
2020,251316,"Jewel Osco, 02508-Howard & Clark",1763 W Howard St,2.0,Supermarket/Grocery Store,70262,5657.0,10370757.2,6910399.7,1985.6,28.3,41.889732,-87.63612,"(41.889732, -87.63612)",5,10
2020,251317,Hotel Monaco Chicago,225 N Wabash,3.0,Hotel,150626,9629.4,3890031.2,12588149.9,25197.8,96.3,41.886517,-87.62599,"(41.886517, -87.62599)",36,38
2016,113668,229 E Lake Shore Drive,229 235 E LAKE SHORE DR,26,Multifamily Housing,93360,1524.4,1217138.9,3983034.4,435.9,4.7,41.895794,-87.62248,"(41.895794, -87.62248)",11,37
2020,100372,Holy Cross Hospial,2701 W 68th St,4.0,Hospital (General Medical & Surgical),409910,3400.1,5050093.6,130271002.2,7707.5,18.8,41.770004,-87.69084,"(41.770004, -87.69084)",31,64
2020,157208,SIR Chicago,400 S Jefferson St,4.0,Office,310704,5171.7,6270689.7,5449916.2,1268.1,4.6,41.972084,-87.70235,"(41.972084, -87.70235)",26,29
2017,114515,6901 Oglesby Avenue Apartment Building Corporation,6901 6915 S OGLESBY AVE,87,Multifamily Housing,108400,2727.6,1019997,1147889,249.6,2.3,41.762592,-87.57232,"(41.762592, -87.57232)",33,39
2020,243703,The Newport CA,4800 S Chicago Beach Dr,3.0,Multifamily Housing,842012,6340.8,8757628,65024082.1,4820.5,6.3,41.80657,-87.5867,"(41.80657, -87.5867)",10,5
2020,251321,1150 West Fullerton Bldg,1150 W Fullerton Ave,4.0,College/University,52043,9956.3,1230639,1187530,255.1,4.9,41.925594,-87.65815,"(41.925594, -87.65815)",34,68
2020,253986,430 W. Erie LLC,430 W Erie St,4.0,Office,68862,4413.0,2525838.9,2331072.2,518,7.5,41.89158,-87.63784,"(41.89158, -87.63784)",36,37
2020,251324,Arts & Letters Hall,2315 N Kenmore Ave,4.0,College/University,111269,8663.5,3566502.1,2318179.2,679.8,6.1,41.92404,-87.65452,"(41.92404, -87.65452)",34,68
2016,147895,"Lincoln Center Condominium Association, NFP",2472  W FOSTER,11,Multifamily Housing,80000,4117.5,2663884.9,2373651.2,617.1,7.7,41.972084,-87.70235,"(41.972084, -87.70235)",24,6
2020,253982,AMLI Lofts Polk,111 W Polk St,3.5,Multifamily Housing,242886,5471.8,5808135.4,5080799.8,1176.3,5.8,41.86842,-87.62414,"(41.86842, -87.62414)",10,38
2020,251320,"Jewel Osco, 03376-Kinzie & Des Plaines",370 N Desplaines St,4.0,Supermarket/Grocery Store,65000,7248.7,8231261.7,6466500.2,1628.1,25,41.88836,-87.64431,"(41.88836, -87.64431)",36,29
2020,102544,Olive-Harvey College,10001 S Woodlawn Ave,3.0,College/University,635874,1912.8,17826775.4,16167799.4,3641,9.2,41.972683,-87.65495,"(41.972683, -87.65495)",35,47
2020,253988,400 West Erie,400 W Erie St,4.0,Office,74429,1621.0,544831.5,2861616.6,237,3.2,41.89158,-87.63784,"(41.89158, -87.63784)",36,37
2020,251326,Centennial Hall,2345 N Sheffield Ave,4.0,College/University,88635,3614.8,4868312.7,5162446.4,1034,11.7,41.94662,-87.70269,"(41.94662, -87.70269)",34,68
2018,253987,(IL047) - 4900 Marine Drive Condo,4900 N Marine Dr,4.0,Multifamily Housing,126423,2539,1471220.3,7286754.4,631.8,5,41.972645,-87.66491,"(41.972645, -87.66491)",18,31
2017,101217,850 Eastwood,850  W EASTWOOD AVE,29,Multifamily Housing,244164,7548.9,4562277,13514707,1561.4,6.4,41.97223,-87.6646,"(41.97223, -87.6646)",18,31
2020,251327,Clifton-Fullerton Hall,2350 N Clifton Ave,4.0,College/University,92627,8039.3,888338.6,4312608.8,367.7,4,41.92507,-87.65786,"(41.92507, -87.65786)",34,68
2020,251328,John T. Richardson Library,2350 N Kenmore Ave,4.0,College/University,187000,7581.5,4766489.8,6066000.9,1066.1,5.7,41.925007,-87.65543,"(41.925007, -87.65543)",34,68
2016,104300,Roscoe Building,434 436 W ROSCOE ST,4,Multifamily Housing,71532,5760.2,701855.2,5798700,437.8,6.1,41.89217,-87.63413,"(41.89217, -87.63413)",25,57
2020,251382,Ogden Elementary - CPS,24 W Walton St,4.0,K-12 School,132724,7587.7,3180288.7,2857040.1,648.1,4.9,41.90029,-87.62906,"(41.90029, -87.62906)",11,37
2020,250051,Simeon Career Academy HS -CPS,8235 S Vincennes Ave,1.0,K-12 School,210316,4966.7,10676782.8,15910060.6,2511.4,11.9,41.744236,-87.635864,"(41.744236, -87.635864)",13,40
2020,250050,Phillips Academy HS -CPS,244 E Pershing Rd,4.0,K-12 School,287721,6214.0,3444002.9,10467359.9,1093.5,3.8,41.883114,-87.64488,"(41.883114, -87.64488)",9,1
2020,251376,Ashburn Community Elementary -CPS,8300 S St Louis Ave,4.0,K-12 School,58580,1675.9,652906.3,3336499.9,279.1,4.8,41.741898,-87.709816,"(41.741898, -87.709816)",30,69
2020,251377,"Hurley, Edward N -CPS",3849 W 69th Pl,2.0,K-12 School,55250,5614.1,1920764.5,3966449.8,510.4,9.2,41.766552,-87.719284,"(41.766552, -87.719284)",15,63
