L_ID,L_Name,Description,L_Type,Zip,State,Country,L_Address,Latitude,Longitude,Location,Elevation,Region,Population,Safe_Index,Environment_Index,Development_Index,Geo_Data
"1461","2108  S PRINCETON AVE","Residential area","Residential","AVE","IL","USA","2108  S PRINCETON AVE","41.845505","-87.630554","(41.845505, -87.630554)","180","Midwest","30000","75","High","Developing","POINT(-87.630554 41.845505)"
"1432","3900  W BRYN MAWR AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3900  W BRYN MAWR AVE","41.780464","-87.60531","(41.780464, -87.60531)","180","West","30000","75","Moderate","Mature","POINT(-87.60531 41.780464)"
"1092","2438 2484 W ESTES AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","2438 2484 W ESTES AVE","42.0088","-87.69503","(42.0088, -87.69503)","180","West","30000","75","High","Developing","POINT(-87.69503 42.0088)"
"1460","1640 W Division St","Mixed-use neighborhood","Mixed","St","IL","USA","1640 W Division St","41.82021","-87.612465","(41.82021, -87.612465)","180","West","30000","75","Low","Advanced","POINT(-87.612465 41.82021)"
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"","","","","","","","","","","","","","","","","",""
"1488","222 S RACINE AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","222 S RACINE AVE","41.883114","-87.64488","(41.883114, -87.64488)","180","West","30000","75","High","Developing","POINT(-87.64488 41.883114)"
"1254","4554  S DREXEL BLVD","Commercial district","Commercial","BLVD","IL","USA","4554  S DREXEL BLVD","41.88696","-87.623055","(41.88696, -87.623055)","180","Northeast","30000","75","High","Developing","POINT(-87.623055 41.88696)"
"1199","350 E Cermak","Industrial zone","Industrial","Cermak","IL","USA","350 E Cermak","41.853687","-87.61836","(41.853687, -87.61836)","180","South","30000","75","Low","Advanced","POINT(-87.61836 41.853687)"
"","","","","","","","","","","","","","","","","",""
"1503","5101 5111 N WINCHESTER AVE","Industrial zone","Industrial","AVE","IL","USA","5101 5111 N WINCHESTER AVE","41.97223","-87.6646","(41.97223, -87.6646)","180","South","30000","75","High","Developing","POINT(-87.6646 41.97223)"
"1381","347 W Chestnut St","Residential area","Residential","St","IL","USA","347 W Chestnut St","41.680508","-87.66246","(41.680508, -87.66246)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.66246 41.680508)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1056","21 W Chestnut St","Mixed-use neighborhood","Mixed","St","IL","USA","21 W Chestnut St","41.972084","-87.70235","(41.972084, -87.70235)","180","West","30000","75","High","Developing","POINT(-87.70235 41.972084)"
"","","","","","","","","","","","","","","","","",""
"1281","7430  S ROCKWELL ST","Residential area","Residential","ST","IL","USA","7430  S ROCKWELL ST","41.77517","-87.7139","(41.77517, -87.7139)","180","Midwest","30000","75","High","Developing","POINT(-87.7139 41.77517)"
"1275","3300  W MAYPOLE AVE","Industrial zone","Industrial","AVE","IL","USA","3300  W MAYPOLE AVE","41.880825","-87.72328","(41.880825, -87.72328)","180","South","30000","75","High","Developing","POINT(-87.72328 41.880825)"
"1409","4532 4542 S DREXEL BLVD","Residential area","Residential","BLVD","IL","USA","4532 4542 S DREXEL BLVD","41.72019","-87.656715","(41.72019, -87.656715)","180","Midwest","30000","75","Low","Advanced","POINT(-87.656715 41.72019)"
"1499","626 640 W WAVELAND AVE","Industrial zone","Industrial","AVE","IL","USA","626 640 W WAVELAND AVE","41.95402","-87.662025","(41.95402, -87.662025)","180","South","30000","75","Low","Advanced","POINT(-87.662025 41.95402)"
"1395","2525 S Michigan Ave","Industrial zone","Industrial","Ave","IL","USA","2525 S Michigan Ave","41.84675","-87.62134","(41.84675, -87.62134)","180","South","30000","75","High","Developing","POINT(-87.62134 41.84675)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1075","77 W Jackson","Industrial zone","Industrial","Jackson","IL","USA","77 W Jackson","41.877556","-87.63042","(41.877556, -87.63042)","180","South","30000","75","Moderate","Mature","POINT(-87.63042 41.877556)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"","","","","","","","","","","","","","","","","",""
"1441","8700 W Bryn Mawr Ave","Residential area","Residential","Ave","IL","USA","8700 W Bryn Mawr Ave","41.98172","-87.84446","(41.98172, -87.84446)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.84446 41.98172)"
"","","","","","","","","","","","","","","","","",""
"1344","8750 W Bryn Mawr Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","8750 W Bryn Mawr Ave","41.87963","-87.640396","(41.87963, -87.640396)","180","West","30000","75","High","Developing","POINT(-87.640396 41.87963)"
"","","","","","","","","","","","","","","","","",""
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"1390","111 E Wacker Dr","Commercial district","Commercial","Dr","IL","USA","111 E Wacker Dr","41.88769","-87.623566","(41.88769, -87.623566)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.623566 41.88769)"
"","","","","","","","","","","","","","","","","",""
"1145","801 E 133rd Pl","Residential area","Residential","Pl","IL","USA","801 E 133rd Pl","41.895477","-87.660355","(41.895477, -87.660355)","180","Midwest","30000","75","Low","Advanced","POINT(-87.660355 41.895477)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1387","131 S Dearborn","Industrial zone","Industrial","Dearborn","IL","USA","131 S Dearborn","41.87981","-87.62855","(41.87981, -87.62855)","180","South","30000","75","Moderate","Mature","POINT(-87.62855 41.87981)"
"","","","","","","","","","","","","","","","","",""
"1153","500 W Madison St","Residential area","Residential","St","IL","USA","500 W Madison St","41.882397","-87.64048","(41.882397, -87.64048)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.64048 41.882397)"
"","","","","","","","","","","","","","","","","",""
"1476","2 N Riverside Plz","Mixed-use neighborhood","Mixed","Plz","IL","USA","2 N Riverside Plz","41.87781","-87.65493","(41.87781, -87.65493)","180","West","30000","75","High","Developing","POINT(-87.65493 41.87781)"
"1166","101 N State St E","Commercial district","Commercial","E","IL","USA","101 N State St E","41.883343","-87.62785","(41.883343, -87.62785)","180","Northeast","30000","75","Low","Advanced","POINT(-87.62785 41.883343)"
"1392","71 S Wacker Dr","Mixed-use neighborhood","Mixed","Dr","IL","USA","71 S Wacker Dr","41.880997","-87.63604","(41.880997, -87.63604)","180","West","30000","75","High","Developing","POINT(-87.63604 41.880997)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1385","4624  S ELLIS AVE","Residential area","Residential","AVE","IL","USA","4624  S ELLIS AVE","41.779964","-87.61674","(41.779964, -87.61674)","180","Midwest","30000","75","Low","Advanced","POINT(-87.61674 41.779964)"
"1491","510 W Erie St","Industrial zone","Industrial","St","IL","USA","510 W Erie St","41.970306","-87.65058","(41.970306, -87.65058)","180","South","30000","75","High","Developing","POINT(-87.65058 41.970306)"
"1014","118 N Clark St","Commercial district","Commercial","St","IL","USA","118 N Clark St","41.808865","-87.6267","(41.808865, -87.6267)","180","Northeast","30000","75","High","Developing","POINT(-87.6267 41.808865)"
"1418","111 W Polk St","Commercial district","Commercial","St","IL","USA","111 W Polk St","41.86842","-87.62414","(41.86842, -87.62414)","180","Northeast","30000","75","Low","Advanced","POINT(-87.62414 41.86842)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1276","3850  W BRYN MAWR AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3850  W BRYN MAWR AVE","41.800785","-87.590485","(41.800785, -87.590485)","180","West","30000","75","Moderate","Mature","POINT(-87.590485 41.800785)"
"","","","","","","","","","","","","","","","","",""
"1035","1430 1440 S MICHIGAN AVE","Industrial zone","Industrial","AVE","IL","USA","1430 1440 S MICHIGAN AVE","41.759693","-87.67628","(41.759693, -87.67628)","180","South","30000","75","High","Developing","POINT(-87.67628 41.759693)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1269","43 E Ohio St","Residential area","Residential","St","IL","USA","43 E Ohio St","41.706604","-87.647064","(41.706604, -87.647064)","180","Midwest","30000","75","High","Developing","POINT(-87.647064 41.706604)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1453","27 N Aberdeen St","Residential area","Residential","St","IL","USA","27 N Aberdeen St","41.71459","-87.68148","(41.71459, -87.68148)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.68148 41.71459)"
"","","","","","","","","","","","","","","","","",""
"1503","5101 5111 N WINCHESTER AVE","Industrial zone","Industrial","AVE","IL","USA","5101 5111 N WINCHESTER AVE","41.97223","-87.6646","(41.97223, -87.6646)","180","South","30000","75","High","Developing","POINT(-87.6646 41.97223)"
"","","","","","","","","","","","","","","","","",""
"1473","5600 5608 W WASHINGTON BLVD","Residential area","Residential","BLVD","IL","USA","5600 5608 W WASHINGTON BLVD","41.7398","-87.653496","(41.7398, -87.653496)","180","Midwest","30000","75","High","Developing","POINT(-87.653496 41.7398)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1302","25 E Washington St","Commercial district","Commercial","St","IL","USA","25 E Washington St","41.88292","-87.62667","(41.88292, -87.62667)","180","Northeast","30000","75","High","Developing","POINT(-87.62667 41.88292)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1436","1029 1051 W NORTH SHORE AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","1029 1051 W NORTH SHORE AVE","42.01036","-87.6683","(42.01036, -87.6683)","180","West","30000","75","Low","Advanced","POINT(-87.6683 42.01036)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1158","624 S Michigan Ave","Commercial district","Commercial","Ave","IL","USA","624 S Michigan Ave","41.947426","-87.642685","(41.947426, -87.642685)","180","Northeast","30000","75","High","Developing","POINT(-87.642685 41.947426)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1131","550 W Van Buren","Industrial zone","Industrial","Buren","IL","USA","550 W Van Buren","41.876785","-87.64114","(41.876785, -87.64114)","180","South","30000","75","High","Developing","POINT(-87.64114 41.876785)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1068","111 N Wabash Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","111 N Wabash Ave","41.88357","-87.62621","(41.88357, -87.62621)","180","West","30000","75","High","Developing","POINT(-87.62621 41.88357)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1247","4922 4942 S CORNELL AVE","Industrial zone","Industrial","AVE","IL","USA","4922 4942 S CORNELL AVE","41.840508","-87.6162","(41.840508, -87.6162)","180","South","30000","75","Low","Advanced","POINT(-87.6162 41.840508)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"1473","5600 5608 W WASHINGTON BLVD","Residential area","Residential","BLVD","IL","USA","5600 5608 W WASHINGTON BLVD","41.7398","-87.653496","(41.7398, -87.653496)","180","Midwest","30000","75","High","Developing","POINT(-87.653496 41.7398)"
"1459","330 S Wells St","Industrial zone","Industrial","St","IL","USA","330 S Wells St","41.877056","-87.634026","(41.877056, -87.634026)","180","South","30000","75","Moderate","Mature","POINT(-87.634026 41.877056)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1490","6045  W GRAND AVE","Commercial district","Commercial","AVE","IL","USA","6045  W GRAND AVE","41.920395","-87.756165","(41.920395, -87.756165)","180","Northeast","30000","75","Low","Advanced","POINT(-87.756165 41.920395)"
"","","","","","","","","","","","","","","","","",""
"1198","251 E Huron St","Commercial district","Commercial","St","IL","USA","251 E Huron St","41.876854","-87.64988","(41.876854, -87.64988)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.64988 41.876854)"
"1081","2900 N Lake Shore Dr","Residential area","Residential","Dr","IL","USA","2900 N Lake Shore Dr","41.773224","-87.63687","(41.773224, -87.63687)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.63687 41.773224)"
"1228","330 W Diversey Pkwy","Mixed-use neighborhood","Mixed","Pkwy","IL","USA","330 W Diversey Pkwy","41.932938","-87.638756","(41.932938, -87.638756)","180","West","30000","75","Moderate","Mature","POINT(-87.638756 41.932938)"
"1275","3300  W MAYPOLE AVE","Industrial zone","Industrial","AVE","IL","USA","3300  W MAYPOLE AVE","41.880825","-87.72328","(41.880825, -87.72328)","180","South","30000","75","High","Developing","POINT(-87.72328 41.880825)"
"1499","626 640 W WAVELAND AVE","Industrial zone","Industrial","AVE","IL","USA","626 640 W WAVELAND AVE","41.95402","-87.662025","(41.95402, -87.662025)","180","South","30000","75","Low","Advanced","POINT(-87.662025 41.95402)"
"1374","844 W Rush St","Commercial district","Commercial","St","IL","USA","844 W Rush St","41.795612","-87.59892","(41.795612, -87.59892)","180","Northeast","30000","75","High","Developing","POINT(-87.59892 41.795612)"
"1499","626 640 W WAVELAND AVE","Industrial zone","Industrial","AVE","IL","USA","626 640 W WAVELAND AVE","41.95402","-87.662025","(41.95402, -87.662025)","180","South","30000","75","Low","Advanced","POINT(-87.662025 41.95402)"
"1442","201 W Grand Ave","Commercial district","Commercial","Ave","IL","USA","201 W Grand Ave","41.891983","-87.63699","(41.891983, -87.63699)","180","Northeast","30000","75","Low","Advanced","POINT(-87.63699 41.891983)"
"1124","2501 W Addison St","Mixed-use neighborhood","Mixed","St","IL","USA","2501 W Addison St","41.94499","-87.69078","(41.94499, -87.69078)","180","West","30000","75","Low","Advanced","POINT(-87.69078 41.94499)"
"1352","4015 N Ashland Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","4015 N Ashland Ave","41.955254","-87.6686","(41.955254, -87.6686)","180","West","30000","75","Low","Advanced","POINT(-87.6686 41.955254)"
"1477","801- 831 W 119th St.","Residential area","Residential","St.","IL","USA","801- 831 W 119th St.","41.94929","-87.64692","(41.94929, -87.64692)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.64692 41.94929)"
"1240","5807 S Woodlawn Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","5807 S Woodlawn Ave","41.886078","-87.63304","(41.886078, -87.63304)","180","West","30000","75","Moderate","Mature","POINT(-87.63304 41.886078)"
"1499","626 640 W WAVELAND AVE","Industrial zone","Industrial","AVE","IL","USA","626 640 W WAVELAND AVE","41.95402","-87.662025","(41.95402, -87.662025)","180","South","30000","75","Low","Advanced","POINT(-87.662025 41.95402)"
"1142","2320 E 93rd St","Commercial district","Commercial","St","IL","USA","2320 E 93rd St","41.726734","-87.566956","(41.726734, -87.566956)","180","Northeast","30000","75","Low","Advanced","POINT(-87.566956 41.726734)"
"1191","1336 1352 N SEDGWICK ST","Industrial zone","Industrial","ST","IL","USA","1336 1352 N SEDGWICK ST","41.972683","-87.65495","(41.972683, -87.65495)","180","South","30000","75","High","Developing","POINT(-87.65495 41.972683)"
"1499","626 640 W WAVELAND AVE","Industrial zone","Industrial","AVE","IL","USA","626 640 W WAVELAND AVE","41.95402","-87.662025","(41.95402, -87.662025)","180","South","30000","75","Low","Advanced","POINT(-87.662025 41.95402)"
"1488","222 S RACINE AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","222 S RACINE AVE","41.883114","-87.64488","(41.883114, -87.64488)","180","West","30000","75","High","Developing","POINT(-87.64488 41.883114)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1336","55 W Cermak Rd","Mixed-use neighborhood","Mixed","Rd","IL","USA","55 W Cermak Rd","41.809326","-87.59248","(41.809326, -87.59248)","180","West","30000","75","Moderate","Mature","POINT(-87.59248 41.809326)"
"1431","55  W CHESTNUT ST","Industrial zone","Industrial","ST","IL","USA","55  W CHESTNUT ST","41.90375","-87.63559","(41.90375, -87.63559)","180","South","30000","75","High","Developing","POINT(-87.63559 41.90375)"
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"1035","1430 1440 S MICHIGAN AVE","Industrial zone","Industrial","AVE","IL","USA","1430 1440 S MICHIGAN AVE","41.759693","-87.67628","(41.759693, -87.67628)","180","South","30000","75","High","Developing","POINT(-87.67628 41.759693)"
"1503","5101 5111 N WINCHESTER AVE","Industrial zone","Industrial","AVE","IL","USA","5101 5111 N WINCHESTER AVE","41.97223","-87.6646","(41.97223, -87.6646)","180","South","30000","75","High","Developing","POINT(-87.6646 41.97223)"
"1097","13550  S AVENUE O","Residential area","Residential","O","IL","USA","13550  S AVENUE O","41.651405","-87.54583","(41.651405, -87.54583)","180","Midwest","30000","75","Low","Advanced","POINT(-87.54583 41.651405)"
"1478","5152 5178 S KING DR","Commercial district","Commercial","DR","IL","USA","5152 5178 S KING DR","41.802242","-87.603325","(41.802242, -87.603325)","180","Northeast","30000","75","Low","Advanced","POINT(-87.603325 41.802242)"
"1150","1230  W 76TH ST","Commercial district","Commercial","ST","IL","USA","1230  W 76TH ST","41.740234","-87.65353","(41.740234, -87.65353)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.65353 41.740234)"
"1432","3900  W BRYN MAWR AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3900  W BRYN MAWR AVE","41.780464","-87.60531","(41.780464, -87.60531)","180","West","30000","75","Moderate","Mature","POINT(-87.60531 41.780464)"
"1132","2350 N Lincoln Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","2350 N Lincoln Ave","41.873993","-87.65168","(41.873993, -87.65168)","180","West","30000","75","Moderate","Mature","POINT(-87.65168 41.873993)"
"1191","1336 1352 N SEDGWICK ST","Industrial zone","Industrial","ST","IL","USA","1336 1352 N SEDGWICK ST","41.972683","-87.65495","(41.972683, -87.65495)","180","South","30000","75","High","Developing","POINT(-87.65495 41.972683)"
"1457","221  E WALTON PL","Residential area","Residential","PL","IL","USA","221  E WALTON PL","41.895794","-87.62248","(41.895794, -87.62248)","180","Midwest","30000","75","Low","Advanced","POINT(-87.62248 41.895794)"
"1457","221  E WALTON PL","Residential area","Residential","PL","IL","USA","221  E WALTON PL","41.895794","-87.62248","(41.895794, -87.62248)","180","Midwest","30000","75","Low","Advanced","POINT(-87.62248 41.895794)"
"1432","3900  W BRYN MAWR AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3900  W BRYN MAWR AVE","41.780464","-87.60531","(41.780464, -87.60531)","180","West","30000","75","Moderate","Mature","POINT(-87.60531 41.780464)"
"1432","3900  W BRYN MAWR AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","3900  W BRYN MAWR AVE","41.780464","-87.60531","(41.780464, -87.60531)","180","West","30000","75","Moderate","Mature","POINT(-87.60531 41.780464)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1154","550 W Jackson Blvd","Commercial district","Commercial","Blvd","IL","USA","550 W Jackson Blvd","41.878345","-87.641525","(41.878345, -87.641525)","180","Northeast","30000","75","Low","Advanced","POINT(-87.641525 41.878345)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1312","515 N STATE ST","Mixed-use neighborhood","Mixed","ST","IL","USA","515 N STATE ST","41.86387","-87.64682","(41.86387, -87.64682)","180","West","30000","75","Moderate","Mature","POINT(-87.64682 41.86387)"
"1473","5600 5608 W WASHINGTON BLVD","Residential area","Residential","BLVD","IL","USA","5600 5608 W WASHINGTON BLVD","41.7398","-87.653496","(41.7398, -87.653496)","180","Midwest","30000","75","High","Developing","POINT(-87.653496 41.7398)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1014","118 N Clark St","Commercial district","Commercial","St","IL","USA","118 N Clark St","41.808865","-87.6267","(41.808865, -87.6267)","180","Northeast","30000","75","High","Developing","POINT(-87.6267 41.808865)"
"1198","251 E Huron St","Commercial district","Commercial","St","IL","USA","251 E Huron St","41.876854","-87.64988","(41.876854, -87.64988)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.64988 41.876854)"
"1222","1815 W Monroe St","Commercial district","Commercial","St","IL","USA","1815 W Monroe St","41.96422","-87.66098","(41.96422, -87.66098)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.66098 41.96422)"
"1181","1 N LaSalle St","Residential area","Residential","St","IL","USA","1 N LaSalle St","41.882324","-87.632","(41.882324, -87.632)","180","Midwest","30000","75","Low","Advanced","POINT(-87.632 41.882324)"
"1450","333 S Ashland Ave","Commercial district","Commercial","Ave","IL","USA","333 S Ashland Ave","41.868633","-87.627304","(41.868633, -87.627304)","180","Northeast","30000","75","Moderate","Mature","POINT(-87.627304 41.868633)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1503","5101 5111 N WINCHESTER AVE","Industrial zone","Industrial","AVE","IL","USA","5101 5111 N WINCHESTER AVE","41.97223","-87.6646","(41.97223, -87.6646)","180","South","30000","75","High","Developing","POINT(-87.6646 41.97223)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1292","815 W Van Buren St","Mixed-use neighborhood","Mixed","St","IL","USA","815 W Van Buren St","41.975525","-87.69722","(41.975525, -87.69722)","180","West","30000","75","Low","Advanced","POINT(-87.69722 41.975525)"
"","","","","","","","","","","","","","","","","",""
"1385","4624  S ELLIS AVE","Residential area","Residential","AVE","IL","USA","4624  S ELLIS AVE","41.779964","-87.61674","(41.779964, -87.61674)","180","Midwest","30000","75","Low","Advanced","POINT(-87.61674 41.779964)"
"","","","","","","","","","","","","","","","","",""
"1365","404 W HARRISON ST","Residential area","Residential","ST","IL","USA","404 W HARRISON ST","41.87665","-87.63816","(41.87665, -87.63816)","180","Midwest","30000","75","High","Developing","POINT(-87.63816 41.87665)"
"1452","3905-29 N. Western Ave.","Mixed-use neighborhood","Mixed","Ave.","IL","USA","3905-29 N. Western Ave.","41.88425","-87.63245","(41.88425, -87.63245)","180","West","30000","75","High","Developing","POINT(-87.63245 41.88425)"
"1012","17 E Monroe St","Mixed-use neighborhood","Mixed","St","IL","USA","17 E Monroe St","41.88032","-87.62695","(41.88032, -87.62695)","180","West","30000","75","Moderate","Mature","POINT(-87.62695 41.88032)"
"1496","660  W WRIGHTWOOD AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","660  W WRIGHTWOOD AVE","41.922012","-87.65462","(41.922012, -87.65462)","180","West","30000","75","Low","Advanced","POINT(-87.65462 41.922012)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1373","2718 W Roscoe St","Residential area","Residential","St","IL","USA","2718 W Roscoe St","42.006603","-87.66729","(42.006603, -87.66729)","180","Midwest","30000","75","Low","Advanced","POINT(-87.66729 42.006603)"
"1374","844 W Rush St","Commercial district","Commercial","St","IL","USA","844 W Rush St","41.795612","-87.59892","(41.795612, -87.59892)","180","Northeast","30000","75","High","Developing","POINT(-87.59892 41.795612)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1461","2108  S PRINCETON AVE","Residential area","Residential","AVE","IL","USA","2108  S PRINCETON AVE","41.845505","-87.630554","(41.845505, -87.630554)","180","Midwest","30000","75","High","Developing","POINT(-87.630554 41.845505)"
"1460","1640 W Division St","Mixed-use neighborhood","Mixed","St","IL","USA","1640 W Division St","41.82021","-87.612465","(41.82021, -87.612465)","180","West","30000","75","Low","Advanced","POINT(-87.612465 41.82021)"
