ID,Community_ID,S_Name,S_Type,P_Name,S_Address,Contact,Office_Hour,Capacity,Specialties,Insurance_Type,Is_Emergency,Wait_Time,Patient_Rating,Qualification,Website
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2595","68.0","cuxOBwpevYgWcHeIpopa","Education","FKXoksBKKtuVWGZ","3773 ZhirGOCNqgArbvN St.","+1-536-274-3933","Mon-Fri Closed, Sat 8AM - 11PM, Sun Closed","100","hEmMahaZnIqskTYUFoxxaqqAGhKlOw","No","Yes","90 minutes","7","Accredited","http://xuaklfja.com"
"2594","71.0","ayxdUZqphyqTirIuUPsc","Social","qIhZBLWOgicwyTn","9630 endLQBVDXSiTAZk St.","+1-778-425-1633","Mon-Fri 6AM - 5PM, Sat 6AM - 5PM, Sun 6AM - 5PM","8","duaTkxPBRfqCquFxaVmhzleLRlMmqB","No","No","18 minutes","7","Accredited","http://uhgmbo.com"
"2593","6.0","zlqZXuYWQybCxMHlXcKf","Social","nZHOmcBvjgsEnPf","6469 ifernNOBakjENtM St.","+1-769-942-5479","Mon-Fri 8AM - 11PM, Sat 8AM - 11PM, Sun 8AM - 11PM","75","tJcRbsrovukQqTOStYHpLrRzhHXAhN","Yes","Yes","118 minutes","7","Accredited","http://vtjkuujf.com"
"2592","29.0","YxJPjOqzerXOmkhmbScX","Recreation","fFiOqoamgfIBkPW","9650 MwuAEjpIfGTHGvy St.","+1-937-375-9027","Mon-Fri 8AM - 5PM, Sat Closed, Sun Closed","19","dMmYumBXKjjQxXpzUwQtylldRhwUkH","No","Yes","22 minutes","3","Not Accredited","http://hvhvafsxk.com"
"2591","28.0","iXTnwJKOgffHVkfpRpUE","Recreation","AwMBJkJqXcjYinl","4286 xSHKWIYPQcFzzpx St.","+1-620-366-6235","Mon-Fri Closed, Sat 9AM - 10PM, Sun 9AM - 10PM","91","vukPyUGakEJTIoYtmjbRYOmRZzREYV","Yes","No","107 minutes","1","Accredited","http://gtyhmwo.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2591","28.0","iXTnwJKOgffHVkfpRpUE","Recreation","AwMBJkJqXcjYinl","4286 xSHKWIYPQcFzzpx St.","+1-620-366-6235","Mon-Fri Closed, Sat 9AM - 10PM, Sun 9AM - 10PM","91","vukPyUGakEJTIoYtmjbRYOmRZzREYV","Yes","No","107 minutes","1","Accredited","http://gtyhmwo.com"
"2595","68.0","cuxOBwpevYgWcHeIpopa","Education","FKXoksBKKtuVWGZ","3773 ZhirGOCNqgArbvN St.","+1-536-274-3933","Mon-Fri Closed, Sat 8AM - 11PM, Sun Closed","100","hEmMahaZnIqskTYUFoxxaqqAGhKlOw","No","Yes","90 minutes","7","Accredited","http://xuaklfja.com"
"2587","30.0","mZrttxJielrcrWRHissr","Education","FlFDXgSIYBFhYTW","4701 aUygKEitINJgSdF St.","+1-657-983-9047","Mon-Fri Closed, Sat Closed, Sun Closed","34","FPWHAJXIdqnWVbIMuDPsOgSrTYriHm","Yes","No","29 minutes","6","Not Accredited","http://htwtivlcug.com"
"2586","36.0","SqCZouIaDGpnoGcYHXDJ","Recreation","sBXyEkVEtlXvQJw","3580 MHtSSEcUDILjDMK St.","+1-938-574-5087","Mon-Fri 6AM - 7PM, Sat 6AM - 7PM, Sun Closed","55","ssGBsjZIDyRcSLOvBgMxRpCcjRzJSz","No","Yes","59 minutes","3","Accredited","http://xejgojim.com"
"2585","40.0","AoeFAPhFLLblJFFjvjnn","Social","xvcMQtLFkeeCFuW","3869 lMuoGVchFKvlmeo St.","+1-511-419-7805","Mon-Fri 6AM - 7PM, Sat Closed, Sun 6AM - 7PM","25","CthAedUPQNPQPKWCQslBhYOEKBjjJP","No","No","74 minutes","2","Not Accredited","http://hmynpsweg.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2583","27.0","LxttjlKBdcxCnBykMzPq","Recreation","gpzoXnoYPvNsYpX","9613 VINknSHPQEJVOKg St.","+1-609-449-7172","Mon-Fri 6AM - 6PM, Sat 6AM - 6PM, Sun 6AM - 6PM","73","SrUKHcipKSRilQZmQcEWadIxoyzAeA","Yes","Yes","77 minutes","5","Accredited","http://lfyfkpp.com"
"2582","39.0","zpdMLBWekSajrGiaFdYc","Healthcare","LVSgOtKBnlmnNMF","9285 SHDlzNwqNUbXyDJ St.","+1-339-777-5791","Mon-Fri Closed, Sat Closed, Sun Closed","79","WXOoAZkZtHVuJluWhkOjTyWdRjJVzJ","Yes","Yes","118 minutes","8","Not Accredited","http://arzbsy.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2580","43.0","jMyOKAptcDxLpYvDYChG","Recreation","fstmvondSFLSBfa","1884 IlpChKFXoXYSiKb St.","+1-264-937-9429","Mon-Fri Closed, Sat Closed, Sun Closed","55","MFjCMUtRQilFrXJJDSMfsbOjzMrdsV","Yes","Yes","36 minutes","3","Accredited","http://sbdog.com"
"2579","3.0","zGHwmobKUXlLAiEIkMmW","Healthcare","MhjciRUBjHkTrTw","336 BrWTIsCSMKvzRoS St.","+1-762-775-2604","Mon-Fri Closed, Sat 6AM - 5PM, Sun 6AM - 5PM","99","ztUujwpAoaIscObSbvQsdSCctNmYnL","No","Yes","76 minutes","5","Accredited","http://vfvpztqpo.com"
"2578","16.0","fFtGxEAJKmSohHIrgiOj","Healthcare","ngOUXEQdbvJdRFs","3253 kpvalRZYPluUAYc St.","+1-395-734-9422","Mon-Fri Closed, Sat 6AM - 11PM, Sun 6AM - 11PM","4","oiGnhjsjrgKFBYugouSavwiiinoAqP","No","No","91 minutes","8","Accredited","http://rywyr.com"
"2578","16.0","fFtGxEAJKmSohHIrgiOj","Healthcare","ngOUXEQdbvJdRFs","3253 kpvalRZYPluUAYc St.","+1-395-734-9422","Mon-Fri Closed, Sat 6AM - 11PM, Sun 6AM - 11PM","4","oiGnhjsjrgKFBYugouSavwiiinoAqP","No","No","91 minutes","8","Accredited","http://rywyr.com"
"2576","17.0","VRcdGWVwRiWTNzKJjZKr","Healthcare","iryuQJAExCReLtO","7737 iaWOSVQuWlTKFKI St.","+1-299-531-6852","Mon-Fri Closed, Sat 6AM - 10PM, Sun Closed","63","UugCmnGECWXhDyspXfbJLXlIOjkJhV","No","No","24 minutes","7","Not Accredited","http://plrhvhoghh.com"
"2593","6.0","zlqZXuYWQybCxMHlXcKf","Social","nZHOmcBvjgsEnPf","6469 ifernNOBakjENtM St.","+1-769-942-5479","Mon-Fri 8AM - 11PM, Sat 8AM - 11PM, Sun 8AM - 11PM","75","tJcRbsrovukQqTOStYHpLrRzhHXAhN","Yes","Yes","118 minutes","7","Accredited","http://vtjkuujf.com"
"2574","13.0","pUPsdyoOUrZcyKFtKpTj","Education","uzupOuuFNOcEVob","6031 isRloMwGLZEclve St.","+1-410-234-8159","Mon-Fri Closed, Sat Closed, Sun Closed","92","QzFMBxNfJOUWoOchfViSdUlcZrbgWc","Yes","Yes","22 minutes","7","Not Accredited","http://yfdfjyg.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2572","41.0","eITrpClJWnJtKkLnNuDT","Social","FMTsaRbHyoehgit","7908 yTYRWwOAeVUTtQm St.","+1-930-258-5293","Mon-Fri 9AM - 6PM, Sat 9AM - 6PM, Sun Closed","74","FyquQuaxQWloDZxDuhhnZYuugZeeUE","Yes","No","105 minutes","2","Not Accredited","http://emwqqcj.com"
"2582","39.0","zpdMLBWekSajrGiaFdYc","Healthcare","LVSgOtKBnlmnNMF","9285 SHDlzNwqNUbXyDJ St.","+1-339-777-5791","Mon-Fri Closed, Sat Closed, Sun Closed","79","WXOoAZkZtHVuJluWhkOjTyWdRjJVzJ","Yes","Yes","118 minutes","8","Not Accredited","http://arzbsy.com"
"2579","3.0","zGHwmobKUXlLAiEIkMmW","Healthcare","MhjciRUBjHkTrTw","336 BrWTIsCSMKvzRoS St.","+1-762-775-2604","Mon-Fri Closed, Sat 6AM - 5PM, Sun 6AM - 5PM","99","ztUujwpAoaIscObSbvQsdSCctNmYnL","No","Yes","76 minutes","5","Accredited","http://vfvpztqpo.com"
"2569","33.0","nJMqXXtyVkghioBEupQq","Education","ZrvVQSBtDMPrnJH","228 xbadXiOPMDgEfmI St.","+1-566-673-1005","Mon-Fri Closed, Sat Closed, Sun 6AM - 9PM","19","XanLhAIEvlNzABxjMrloBphukylGUv","Yes","No","112 minutes","5","Accredited","http://ulwtarnx.com"
"2568","34.0","tbWUXZlYEcYTobAXANun","Recreation","LFHtIEXiYjkJEsU","6786 XGiPUaawFySYIIX St.","+1-542-468-6629","Mon-Fri Closed, Sat 6AM - 9PM, Sun Closed","5","aoLvgpEIIQVlLlUASFpBiSMFNKfvuE","No","No","28 minutes","7","Not Accredited","http://ownczwnc.com"
"2567","7.0","ZjnWJvKEmslBGKUpnTBV","Recreation","CwvFNjhXEMipfnn","6701 XWwbXMlmlqNbamF St.","+1-389-935-7933","Mon-Fri 8AM - 7PM, Sat Closed, Sun Closed","79","AezHyDFLulEeiSkeVXhLiDyuZWAzhr","No","Yes","46 minutes","8","Not Accredited","http://mkdnuecim.com"
"2593","6.0","zlqZXuYWQybCxMHlXcKf","Social","nZHOmcBvjgsEnPf","6469 ifernNOBakjENtM St.","+1-769-942-5479","Mon-Fri 8AM - 11PM, Sat 8AM - 11PM, Sun 8AM - 11PM","75","tJcRbsrovukQqTOStYHpLrRzhHXAhN","Yes","Yes","118 minutes","7","Accredited","http://vtjkuujf.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2572","41.0","eITrpClJWnJtKkLnNuDT","Social","FMTsaRbHyoehgit","7908 yTYRWwOAeVUTtQm St.","+1-930-258-5293","Mon-Fri 9AM - 6PM, Sat 9AM - 6PM, Sun Closed","74","FyquQuaxQWloDZxDuhhnZYuugZeeUE","Yes","No","105 minutes","2","Not Accredited","http://emwqqcj.com"
"2562","1.0","EmmgBDcskrmYhlSNKyiV","Social","wepCPKwxZitoHkW","9554 CfXJweqOWuXNEpZ St.","+1-695-925-6157","Mon-Fri Closed, Sat 7AM - 6PM, Sun Closed","35","AYtjYvscVLWslXhJEOYwJcVZPrlRHI","Yes","No","49 minutes","6","Not Accredited","http://bxfezhoym.com"
"2562","1.0","EmmgBDcskrmYhlSNKyiV","Social","wepCPKwxZitoHkW","9554 CfXJweqOWuXNEpZ St.","+1-695-925-6157","Mon-Fri Closed, Sat 7AM - 6PM, Sun Closed","35","AYtjYvscVLWslXhJEOYwJcVZPrlRHI","Yes","No","49 minutes","6","Not Accredited","http://bxfezhoym.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2559","76.0","bpnFfnjZrLpmPYporFZI","Recreation","YTkTWKsgmazugLX","9187 KPnEDolGtElEqmd St.","+1-924-840-2374","Mon-Fri Closed, Sat Closed, Sun 8AM - 11PM","72","iDjTfrizNHqiUAiLejrSCvnbsLUizP","No","No","72 minutes","8","Not Accredited","http://pyahkxjuc.com"
"2591","28.0","iXTnwJKOgffHVkfpRpUE","Recreation","AwMBJkJqXcjYinl","4286 xSHKWIYPQcFzzpx St.","+1-620-366-6235","Mon-Fri Closed, Sat 9AM - 10PM, Sun 9AM - 10PM","91","vukPyUGakEJTIoYtmjbRYOmRZzREYV","Yes","No","107 minutes","1","Accredited","http://gtyhmwo.com"
"2569","33.0","nJMqXXtyVkghioBEupQq","Education","ZrvVQSBtDMPrnJH","228 xbadXiOPMDgEfmI St.","+1-566-673-1005","Mon-Fri Closed, Sat Closed, Sun 6AM - 9PM","19","XanLhAIEvlNzABxjMrloBphukylGUv","Yes","No","112 minutes","5","Accredited","http://ulwtarnx.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2555","55.0","boErLQPkjqfmkVBWYFsc","Recreation","EIqmdOzKfRwFctO","4127 bisFiZzSFxuvrcb St.","+1-980-286-6065","Mon-Fri Closed, Sat 6AM - 8PM, Sun 6AM - 8PM","92","tXlNiiABYnHTPWCqQBUofGFRetvFSD","No","No","20 minutes","9","Accredited","http://whgobhvqzz.com"
"2582","39.0","zpdMLBWekSajrGiaFdYc","Healthcare","LVSgOtKBnlmnNMF","9285 SHDlzNwqNUbXyDJ St.","+1-339-777-5791","Mon-Fri Closed, Sat Closed, Sun Closed","79","WXOoAZkZtHVuJluWhkOjTyWdRjJVzJ","Yes","Yes","118 minutes","8","Not Accredited","http://arzbsy.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2599","5.0","uARbfwUnzUyLhulREBbN","Recreation","mGqsRRyvIIiJFvq","1377 QxkMmjIvmsdqUDI St.","+1-898-726-6294","Mon-Fri Closed, Sat 6AM - 5PM, Sun 6AM - 5PM","55","LqVAcQrtMvxhZFXxFHDNaljXGvEOKh","No","Yes","66 minutes","7","Accredited","http://epcwv.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2591","28.0","iXTnwJKOgffHVkfpRpUE","Recreation","AwMBJkJqXcjYinl","4286 xSHKWIYPQcFzzpx St.","+1-620-366-6235","Mon-Fri Closed, Sat 9AM - 10PM, Sun 9AM - 10PM","91","vukPyUGakEJTIoYtmjbRYOmRZzREYV","Yes","No","107 minutes","1","Accredited","http://gtyhmwo.com"
"2593","6.0","zlqZXuYWQybCxMHlXcKf","Social","nZHOmcBvjgsEnPf","6469 ifernNOBakjENtM St.","+1-769-942-5479","Mon-Fri 8AM - 11PM, Sat 8AM - 11PM, Sun 8AM - 11PM","75","tJcRbsrovukQqTOStYHpLrRzhHXAhN","Yes","Yes","118 minutes","7","Accredited","http://vtjkuujf.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2591","28.0","iXTnwJKOgffHVkfpRpUE","Recreation","AwMBJkJqXcjYinl","4286 xSHKWIYPQcFzzpx St.","+1-620-366-6235","Mon-Fri Closed, Sat 9AM - 10PM, Sun 9AM - 10PM","91","vukPyUGakEJTIoYtmjbRYOmRZzREYV","Yes","No","107 minutes","1","Accredited","http://gtyhmwo.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2543","23.0","CluRDhaPuyXwOkSFAXgx","Recreation","fWNtcPfajsjRVFU","115 KONSBUaVgbAsyJU St.","+1-421-881-2131","Mon-Fri 8AM - 8PM, Sat 8AM - 8PM, Sun Closed","24","APhmovgPLPmTBmllJNpVcsnDdRgsLQ","No","No","75 minutes","2","Accredited","http://wfhvwtshr.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2580","43.0","jMyOKAptcDxLpYvDYChG","Recreation","fstmvondSFLSBfa","1884 IlpChKFXoXYSiKb St.","+1-264-937-9429","Mon-Fri Closed, Sat Closed, Sun Closed","55","MFjCMUtRQilFrXJJDSMfsbOjzMrdsV","Yes","Yes","36 minutes","3","Accredited","http://sbdog.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2534","61.0","cWnYTUgDOaPsRTsnJDvL","Education","NdBwUgbagAsudKY","7459 niFRXwzPsCJtXWA St.","+1-785-456-3237","Mon-Fri Closed, Sat Closed, Sun 6AM - 6PM","72","IyEttreDYGTUCZWyBAedPTvtGRkmXE","Yes","No","98 minutes","7","Accredited","http://iigcl.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
