Building_ID,Building_Address,Building_Type,Build_Year,Zip,State,City,Community_ID,Community_Name,Latitude,Longitude,Location,Energy_Rating,Property_Type,Floor_Area,Water_Use,Electricity_Use,Natural_Gas_Use,Total_GHG_Emissions,GHG_Intensity,Wards,Community_Area
"101686","7240 W Foster Ave","Commercial","1970-03-01","60656.0","NE","Cambridge","28.0","NEAR WEST SIDE","41.97458","-87.80809","(41.97458, -87.80809)","2.0","Strip Mall","760652","8226.1","15064028.2","20220946.8","3425.1","12.5","29","36"
"101705","1607  E 50TH PL","Residential","1925-03-01","60615.0","VA","Crisman","33.0","KENWOOD","41.802242","-87.603325","(41.802242, -87.603325)","35","Multifamily Housing","59310","2274.9","1073142.2","5501499.7","490","8.3","33","8"
"101707","111 E Wacker Dr","Commercial","1970-03-01","60601.0","VA","Northgate","32.0","LOOP","41.88769","-87.623566","(41.88769, -87.623566)","2.0","Office","1219035","410.2","45974946.5","52872672.9","9983.6","8.8","36","38"
"101709","20 N Wacker Dr","Commercial","2017-03-01","60606.0","IL","Crisman","55.0","LOOP","41.882526","-87.63747","(41.882526, -87.63747)","4.0","Office","1742899","2449.4","43512452.6","51714077.3","9537.7","5.5","36","38"
"101710","1605  E 50TH ST","Residential","1907-03-01","60615.0","VA","Crisman","39.0","KENWOOD","41.895477","-87.660355","(41.895477, -87.660355)","81","Multifamily Housing","59310","800.1","2222287","5437087","699.7","11.8","33","8"
"101713","200 E Randolph St","Commercial","1969-03-01","60601.0","VA","Northgate","32.0","LOOP","41.885292","-87.62152","(41.885292, -87.62152)","4.0","Office","3457865","7494.0","88649320.1","74788659.9","20741.2","6.5","36","38"
"101715","227 W Monroe","Commercial","1925-03-01","60606.0","IL","Crisman","5.0","LOOP","41.88003","-87.63472","(41.88003, -87.63472)","4.0","Office","3135770","8692.2","140883398.3","514471.5","22014.9","7.4","36","38"
"101717","55 E Monroe St","Commercial","2010-03-01","60603.0","IL","Goodland","32.0","LOOP","41.880177","-87.62564","(41.880177, -87.62564)","4.0","Office","2144478","1214.1","88292385.4","755307.7","15558.4","9.3","36","38"
"101718","70 W Madison St","Commercial","2017-03-01","60602.0","IL","Big Foot Prairie","8.0","LOOP","41.882298","-87.630196","(41.882298, -87.630196)","4.0","Office","1636819","6062.7","66300331.7","312624.7","10364.1","6.5","36","38"
"101720","131 S Dearborn","Commercial","1907-03-01","60603.0","IL","Goodland","32.0","LOOP","41.87981","-87.62855","(41.87981, -87.62855)","4.0","Financial Office","272235","8347.7","7498484","2520118.0","1170.3","4.3","36","38"
"101722","500 W Monroe","Commercial","1957-03-01","60661.0","KY","Moorland","28.0","NEAR WEST SIDE","41.880608","-87.63978","(41.880608, -87.63978)","1.0","Office","1554884","6151.5","98139027.4","6006744.1","15316.5","13.3","36","29"
"101727","500 W Madison St","Commercial","1966-03-01","60661.0","KY","Moorland","6.0","LAKE VIEW","41.882397","-87.64048","(41.882397, -87.64048)","2.5","Office","1855810","7598.7","92248339.8","2603340.6","14397.1","7.8","36","29"
"101731","175 W Jackson","Commercial","1954-03-01","60604.0","NC","Northchase","32.0","LOOP","41.877495","-87.6332","(41.877495, -87.6332)","3.5","Office","1863650","6211.7","45549193.3","38006992","10690.3","5.9","36","38"
"101733","2 N Riverside Plz","Commercial","1900-03-01","60606.0","IL","Crisman","28.0","NEAR WEST SIDE","41.87781","-87.65493","(41.87781, -87.65493)","4.0","Office","778175","9080.8","38593715.1","492544.7","6049.5","8.2","36","29"
"101735","101 N State St E","Commercial","1957-03-01","60602.0","IL","Big Foot Prairie","32.0","LOOP","41.883343","-87.62785","(41.883343, -87.62785)","4.0","Retail Store","1841736","5187.6","50747763.2","46958411.7","10414.4","5.7","36","38"
"101736","71 S Wacker Dr","Commercial","1925-03-01","60606.0","IL","Crisman","23.0","LOOP","41.880997","-87.63604","(41.880997, -87.63604)","3.5","Office","1797097","694.3","93096764.4","755156.1","14569.7","8.6","36","38"
"101738","300 E Randolph","Commercial","1921-03-01","60601.0","VA","Northgate","32.0","LOOP","41.884846","-87.619896","(41.884846, -87.619896)","3.5","Office","2286697","3585.3","144238480.8","728377.1","24654.6","11.1","36","38"
"101739","1 S Dearborn","Commercial","2017-03-01","60603.0","IL","Goodland","32.0","LOOP","41.881653","-87.628845","(41.881653, -87.628845)","4.0","Office","1048763","2790.2","38710554.2","6756014.0","6041.5","6.4","36","38"
"101744","1 N Wacker Dr","Commercial","1936-03-01","60606.0","IL","Crisman","32.0","LOOP","41.8823","-87.636055","(41.8823, -87.636055)","4.0","Office","1684690","651.9","70708209.8","3884902.5","12683.2","7.9","36","38"
"101751","7500  S SOUTH SHORE DR","Residential","1900-03-01","60649.0","VA","Cambridge","43.0","SOUTH SHORE","41.779964","-87.61674","(41.779964, -87.61674)","7","Multifamily Housing","50000","3119.9","419734","6617535.7","428.9","8.6","33","39"
"101755","115 S LaSalle St","Commercial","1914-03-01","60603.0","IL","Goodland","32.0","LOOP","41.970306","-87.65058","(41.970306, -87.65058)","3.5","Office","1526102","8852.7","62158178.6","85619806.5","14248.7","9.3","36","38"
"101756","118 N Clark St","Commercial","1914-03-01","60602.0","IL","Big Foot Prairie","32.0","LOOP","41.808865","-87.6267","(41.808865, -87.6267)","3.5","Office","638592","758.9","31463456.1","30530798.1","6532.1","10.2","36","38"
"101757","219 S Dearborn","Commercial","2014-03-01","60604.0","NC","Northchase","32.0","LOOP","41.86842","-87.62414","(41.86842, -87.62414)","4.0","Mixed Use Property","3176860","667.4","83287237.6","101934238.4","18412.8","5.8","36","38"
"101760","35 W Wacker Dr","Commercial","2012-03-01","60601.0","VA","Northgate","32.0","LOOP","41.88642","-87.62903","(41.88642, -87.62903)","4.0","Office","1398335","2131.9","59041037.3","6698745.4","9225","6.6","36","38"
"101766","181 W Madison St","Commercial","1970-03-01","60602.0","IL","Big Foot Prairie","61.0","NEW CITY","41.881584","-87.633385","(41.881584, -87.633385)","4.0","Office","1107510","5301.5","58104631.7","6530899.7","9075","8.4","36","38"
"101770","10 S Wacker Dr","Commercial","1925-03-01","60606.0","IL","Crisman","8.0","LOOP","41.881607","-87.63752","(41.881607, -87.63752)","4.0","Office","3014304","1651.9","129942482.2","1689689.4","20375.5","7.1","36","38"
"101776","151 E Wacker Dr","Residential","1907-03-01","60601.0","VA","Northgate","32.0","LOOP","41.800785","-87.590485","(41.800785, -87.590485)","4.0","Hotel","2295495","6683.3","50754797.4","99737806.5","13218.8","6.5","36","38"
"101789","200 W Madison","Commercial","2017-03-01","60606.0","IL","Crisman","8.0","LOOP","41.882347","-87.63436","(41.882347, -87.63436)","4.0","Office","1026496","74.0","47417281.4","8403481.1","7400.4","7.4","36","38"
"101795","541 N Fairbanks","Commercial","2014-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.759693","-87.67628","(41.759693, -87.67628)","4.0","Office","717914","2917.7","29925591.5","28159100.5","6166.1","8.6","36","37"
"101798","225 W Randolph","Commercial","2012-03-01","60606.0","IL","Crisman","32.0","LOOP","41.884117","-87.63479","(41.884117, -87.63479)","4.0","Office","929932","4520.4","4211830.5","1953200.4","761.1","0.8","36","38"
"101804","401 N Michigan Ave","Commercial","1990-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.889614","-87.62298","(41.889614, -87.62298)","4.0","Office","941166","1273.7","25535359.9","39576111.6","6087.4","6.9","36","37"
"101816","43 E Ohio St","Commercial","1900-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.706604","-87.647064","(41.706604, -87.647064)","4.0","Enclosed Mall","450811","5862.5","9576593.6","413937.6","1124.5","22.1","36","37"
"101835","230 W Monroe","Commercial","1985-03-01","60606.0","IL","Crisman","32.0","LOOP","41.88101","-87.6349","(41.88101, -87.6349)","4.0","Office","677385","4452.6","25116834.1","29318326.9","5477.2","8.1","36","38"
"101838","191 N Wacker Dr","Commercial","1966-03-01","60606.0","IL","Crisman","6.0","LAKE VIEW","41.885384","-87.63644","(41.885384, -87.63644)","3.5","Office","904965","9080.3","37820587.4","8238261.1","5902.6","7.6","36","38"
"101839","120 S Riverside Plz","Commercial","1917-03-01","60606.0","IL","Crisman","28.0","NEAR WEST SIDE","41.71459","-87.68148","(41.71459, -87.68148)","4.0","Office","787045","1411.1","20573865.4","16274497.6","4075.4","5.2","36","29"
"101840","710 N Lakeshore Dr","Commercial","1985-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.89534","-87.616646","(41.89534, -87.616646)","1.0","College/University","236060","1311.4","17126215","26023479.3","4055.1","17.2","36","37"
"101852","301 E N Water St","Residential","2014-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.97223","-87.6646","(41.97223, -87.6646)","4.0","Hotel","1273000","6517.1","40474653.8","15358300.4","7132.6","6.2","36","37"
"101854","10 S Riverside Plz","Commercial","1949-03-01","60606.0","IL","Crisman","28.0","NEAR WEST SIDE","41.92385","-87.63654","(41.92385, -87.63654)","4.0","Office","787045","6287.3","26703131.6","16881799.8","5064.2","6.4","36","29"
"101865","150 S Wacker Dr","Commercial","2014-03-01","60606.0","IL","Crisman","32.0","LOOP","41.7398","-87.653496","(41.7398, -87.653496)","4.0","Office","1281114","4293.5","44104209.2","42770238.2","9155","7.1","36","38"
"101867","125 S Wacker Dr","Commercial","1969-03-01","60606.0","IL","Crisman","6.0","LOOP","41.879734","-87.63641","(41.879734, -87.63641)","4.0","Office","641962","882.5","29440386.1","6417637.8","4594.7","7.2","36","38"
"101868","300 S Wacker Dr","Commercial","1957-03-01","60606.0","IL","Crisman","32.0","LOOP","41.87767","-87.63713","(41.87767, -87.63713)","3.5","Office","609638","3471.2","22484725.3","18415028.4","4487.3","7.5","36","38"
"101872","100 N LaSalle St","Commercial","1936-03-01","60602.0","IL","Big Foot Prairie","32.0","LOOP","41.88343","-87.6325","(41.88343, -87.6325)","4.0","Office","160475","3270.2","5484206","7978390.1","1279.7","8","36","38"
"101874","444 N Michigan Ave","Commercial","2012-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.890694","-87.62478","(41.890694, -87.62478)","3.5","Office","517115","1278.4","33236571.9","43926.3","5189.5","10","36","37"
"101878","200 W Jackson Blvd","Commercial","2012-03-01","60606.0","IL","Crisman","32.0","LOOP","41.878437","-87.6341","(41.878437, -87.6341)","4.0","Office","545162","404.5","14750625.4","23697356","3870.1","7.1","36","38"
"101881","25 E Washington St","Commercial","1970-03-01","60602.0","IL","Big Foot Prairie","1.0","ROGERS PARK","41.88292","-87.62667","(41.88292, -87.62667)","4.0","Office","488324","9527.2","13139147","4221670.6","2379.9","4.9","36","38"
"101883","676 N Michigan Ave","Residential","1914-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.77034","-87.63724","(41.77034, -87.63724)","1.0","Hotel","440281","1127.3","55005377.2","292600","8600.2","19.5","36","37"
"101887","550 W Adams","Commercial","1957-03-01","60661.0","KY","Moorland","28.0","NEAR WEST SIDE","41.87955","-87.64174","(41.87955, -87.64174)","4.0","Office","525575","7174.4","19528896.4","606774","3080.1","5.9","36","29"
"101889","333 N Michigan Ave","Commercial","2012-03-01","60601.0","VA","Northgate","32.0","LOOP","41.88764","-87.62453","(41.88764, -87.62453)","4.0","Office","354146","5309.2","7928157","19642001.5","2280.6","6.4","36","38"
"101890","345 E Superior St","Commercial","1966-03-01","60611.0","VA","Northgate","70.0","ASHBURN","41.89545","-87.61832","(41.89545, -87.61832)","2.0","College/University","370800","5498.2","20171906.3","60256129.7","6348.7","17.1","36","37"
"101891","224 S Michigan Ave","Commercial","1969-03-01","60604.0","NC","Northchase","66.0","LOOP","41.878624","-87.62489","(41.878624, -87.62489)","4.0","Office","412504","2699.5","13254701.3","10521053.7","2627.5","6.4","36","38"
"101899","6830  N SHERIDAN RD","Residential","1921-03-01","60626.0","IL","Rockbridge","1.0","ROGERS PARK","42.01036","-87.6683","(42.01036, -87.6683)","68","Multifamily Housing","64264","6826.8","1112943.2","4731911.9","457.1","7.1","5","10"
"101900","309 W Washngton St","Commercial","1990-03-01","60606.0","IL","Crisman","32.0","LOOP","41.882996","-87.63566","(41.882996, -87.63566)","4.0","Office","105313","1764.3","3590069","3691229.8","756.4","7.2","36","38"
"101901","151 171 W Randolph St","Residential","1966-03-01","60601.0","VA","Northgate","24.0","WEST TOWN","41.88411","-87.63305","(41.88411, -87.63305)","4.0","Hotel","383168","8751.3","8164936.4","34494201.5","3739","9.8","36","38"
"101910","160 N LaSalle St","Commercial","1996-03-01","60601.0","VA","Northgate","32.0","LOOP","41.947426","-87.642685","(41.947426, -87.642685)","4.0","Office","464498","8628.3","13045901.7","12600101.5","2705.3","5.8","36","38"
"101913","567 W Lake St","Municipal","1970-03-01","60661.0","KY","Moorland","45.0","AVALON PARK","41.88528","-87.64235","(41.88528, -87.64235)","3.0","Office","434052","5387.6","17992104.5","9770870.5","3327","7.7","36","29"
"101918","205 W Randolph St","Commercial","1917-03-01","60606.0","IL","Crisman","32.0","LOOP","41.789566","-87.58709","(41.789566, -87.58709)","4.0","Office","200116","8254.3","6574144.9","506043.4","1052.9","5.3","36","38"
"101920","410 N MICHIGAN AVE","Commercial","1957-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.890064","-87.62518","(41.890064, -87.62518)","4.0","Office","620360","136.3","20048696.3","18027982.9","4086.5","6.6","36","37"
"101923","311 W Monroe","Commercial","1957-03-01","60606.0","IL","Crisman","32.0","LOOP","41.880306","-87.635704","(41.880306, -87.635704)","4.0","Office","431036","6248.8","10622377.9","3525342","1845.1","4.3","36","38"
"101924","550 W Van Buren","Commercial","1954-03-01","60607.0","IL","Cambridge","28.0","NEAR WEST SIDE","41.876785","-87.64114","(41.876785, -87.64114)","4.0","Office","338934","7861.9","16559947.8","7415034.2","2584.5","7.8","36","29"
"101934","321 N Clark St","Commercial","1921-03-01","60654.0","VA","Sale Creek","8.0","NEAR NORTH SIDE","41.88827","-87.6306","(41.88827, -87.6306)","4.0","Office","996358","3043.6","43044786.6","5532712.6","6718","6.8","36","37"
"101935","500 N Michigan Ave","Commercial","2017-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.89117","-87.624695","(41.89117, -87.624695)","7","Office","405288","9034.1","28208056.8","522665.5","4402.4","11.3","36","37"
"101940","5 S Wabash Ave","Commercial","1957-03-01","60603.0","IL","Goodland","32.0","LOOP","41.88186","-87.62567","(41.88186, -87.62567)","54","Enclosed Mall","315000","2389.9","12679388.4","2703522.6","2122.5","6.7","36","38"
"101954","111 N Wabash Ave","Commercial","1925-03-01","60602.0","IL","Big Foot Prairie","41.0","LOOP","41.88357","-87.62621","(41.88357, -87.62621)","2.5","Office","259000","5218.4","14051291.4","15493629.9","3015.9","11.6","36","38"
"101961","30 W Monroe","Commercial","2017-03-01","60603.0","IL","Goodland","31.0","LOOP","41.88109","-87.628586","(41.88109, -87.628586)","3.0","Office","311003","112.2","8659372.7","19525200.4","2388.5","7.9","36","38"
"101969","77 W Washington","Commercial","2012-03-01","60602.0","IL","Big Foot Prairie","32.0","LOOP","41.882854","-87.630615","(41.882854, -87.630615)","4.0","Office","238531","95.1","7873748.3","10663400.1","1795.2","7.5","36","38"
